	output_dir	tag_pos	time_difFUBAR	time_difFUBAR_prune_max	time_difFUBAR_prune_patrick
0	output/omnibus/pos_thresh_0.95/sim.138.replicate.1	[1, 2]	598.776663457	547.546944156	549.367338908
0	output/omnibus/pos_thresh_0.95/sim.474.replicate.1	[1, 2]	1135.915982926	1093.417466631	1062.142328688
0	output/omnibus/pos_thresh_0.95/sim.310.replicate.1	[1, 2]	2194.450911358	1469.25842922	1218.925604146
0	output/omnibus/pos_thresh_0.95/sim.311.replicate.1	[1, 2]	661.714895549	424.852859054	397.591656192
0	output/omnibus/pos_thresh_0.95/sim.136.replicate.1	[1, 2]	2774.961800647	2367.689307202	1427.590927404
0	output/omnibus/pos_thresh_0.95/sim.488.replicate.1	[1, 2]	3173.370825825	2351.351154246	1433.130822649
0	output/omnibus/pos_thresh_0.95/sim.303.replicate.1	[1, 2]	1109.750297324	1088.333428788	1081.050679067
0	output/omnibus/pos_thresh_0.95/sim.486.replicate.1	[1, 2]	1318.827114725	1270.430308808	1192.990519336
0	output/omnibus/pos_thresh_0.95/sim.139.replicate.1	[1, 2]	3681.693547704	2306.978702933	1624.890180207
0	output/omnibus/pos_thresh_0.95/sim.125.replicate.1	[1, 2]	1791.735145631	1657.027181069	1355.580103137
0	output/omnibus/pos_thresh_0.95/sim.490.replicate.1	[1, 2]	2425.608028472	2117.224209517	1344.886127811
0	output/omnibus/pos_thresh_0.95/sim.122.replicate.1	[1, 2]	1866.568073241	1737.667498128	1584.990679022
0	output/omnibus/pos_thresh_0.95/sim.476.replicate.1	[1, 2]	1778.380713468	1630.976779911	1246.265483984
0	output/omnibus/pos_thresh_0.95/sim.475.replicate.1	[1, 2]	826.307421068	775.809725705	757.843244035
0	output/omnibus/pos_thresh_0.95/sim.121.replicate.1	[1, 2]	1883.621278191	1771.5432966	1481.229950811
0	output/omnibus/pos_thresh_0.95/sim.304.replicate.1	[1, 2]	945.579862873	921.581792905	906.049690463
0	output/omnibus/pos_thresh_0.95/sim.307.replicate.1	[1, 2]	2010.052116336	1897.007185236	1664.943660875
0	output/omnibus/pos_thresh_0.95/sim.478.replicate.1	[1, 2]	2894.253963228	2339.653590487	1516.154121317
0	output/omnibus/pos_thresh_0.95/sim.473.replicate.1	[1, 2]	1896.235198924	1719.345819607	1448.450322236
0	output/omnibus/pos_thresh_0.95/sim_test	[1, 2]	90.331172	66.224805199	66.399184912
0	output/omnibus/pos_thresh_0.95/sim.471.replicate.1	[1, 2]	1353.712094466	1302.373413858	1248.979394883
0	output/omnibus/pos_thresh_0.95/sim.128.replicate.1	[1, 2]	1659.105304717	1561.257022049	1378.756585178
0	output/omnibus/pos_thresh_0.95/sim.492.replicate.1	[1, 2]	2441.548809277	1982.759743977	1409.444516311
0	output/omnibus/pos_thresh_0.95/sim.472.replicate.1	[1, 2]	2905.6803112	2484.044584202	1390.789284683
