accession_id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
OL983718	AY.103	20210913	USA		Homo sapiens	2697049		Delta
OL983717	AY.39	20210101	USA		Homo sapiens	2697049		Delta
OL983567	AY.103	20210907	USA		Homo sapiens	2697049		Delta
OL983570	AY.44	20210901	USA		Homo sapiens	2697049		Delta
OL983582	AY.25.1	20210930	USA		Homo sapiens	2697049		Delta
OL983590	AY.47	20210907	USA		Homo sapiens	2697049		Delta
OL983743	AY.100	20210928	USA		Homo sapiens	2697049		Delta
OL983595	AY.122	20210914	USA		Homo sapiens	2697049		Delta
OL983605	AY.103	20210908	USA		Homo sapiens	2697049		Delta
OL983604	AY.39.1	20210909	USA		Homo sapiens	2697049		Delta
OL983601	AY.25	20210904	USA		Homo sapiens	2697049		Delta
OL983610	AY.25	20210908	USA		Homo sapiens	2697049		Delta
OL983616	AY.44	20210908	USA		Homo sapiens	2697049		Delta
OL983619	AY.103	20210914	USA		Homo sapiens	2697049		Delta
OL983598	AY.103	20210907	USA		Homo sapiens	2697049		Delta
OL983622	AY.35	20210912	USA		Homo sapiens	2697049		Delta
OL983730	AY.75	20211021	USA		Homo sapiens	2697049		Delta
OL982094	AY.3	20211129	USA		Homo sapiens	2697049		Delta
OL982104	AY.119	20211130	USA		Homo sapiens	2697049		Delta
OL982093	AY.25	20211129	USA		Homo sapiens	2697049		Delta
OL982110	AY.100	20211130	USA		Homo sapiens	2697049		Delta
OL982139	AY.103	20211130	USA		Homo sapiens	2697049		Delta
OL983775	AY.103	20211005	USA		Homo sapiens	2697049		Delta
OL983770	AY.25.1	20211005	USA		Homo sapiens	2697049		Delta
OL983937	AY.44	20211019	USA		Homo sapiens	2697049		Delta
OL983783	AY.39	20211103	USA		Homo sapiens	2697049		Delta
OL983790	AY.39	20210928	USA		Homo sapiens	2697049		Delta
OL983793	AY.103	20211006	USA		Homo sapiens	2697049		Delta
OL983809	AY.44	20211007	USA		Homo sapiens	2697049		Delta
OL983813	AY.44	20210929	USA		Homo sapiens	2697049		Delta
OL983805	AY.25	20211006	USA		Homo sapiens	2697049		Delta
OL983960	AY.126	20211015	USA		Homo sapiens	2697049		Delta
OL982635	AY.103	20211209	USA	The University of New Mexico Health Sciences Center	Homo sapiens	2697049		Delta
OL983807	AY.47	20211006	USA		Homo sapiens	2697049		Delta
OL982680	AY.100	20211212	USA	The University of New Mexico Health Sciences Center	Homo sapiens	2697049		Delta
OL987714	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL983933	AY.103	20210101	USA		Homo sapiens	2697049		Delta
OL983919	AY.103	20210101	USA		Homo sapiens	2697049		Delta
OL983930	AY.103	20211013	USA		Homo sapiens	2697049		Delta
OL983978	AY.44	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL983976	AY.25	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL983981	AY.100	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL983378	AY.103	20210726	USA		Homo sapiens	2697049		Delta
OL983991	AY.3	20211214	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL984003	AY.44	20210927	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL984010	AY.27	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL984016	AY.44	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL984018	AY.25	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL984008	AY.103	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL983416	AY.44	20210811	USA		Homo sapiens	2697049		Delta
id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
OL987807	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL984022	AY.26	20211213	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL984020	AY.44	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
OL987645	AY.39.1	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL987639	AY.118	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL987642	AY.103	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL983521	AY.3	20210902	USA		Homo sapiens	2697049		Delta
OL987638	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL987641	AY.3	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL987647	AY.25.1	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL987651	AY.100	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL987653	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988358	AY.25.1	20210730	USA		Homo sapiens	2697049		Delta
OL988032	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988031	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988006	AY.3	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988034	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988035	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988043	AY.34	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988033	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988054	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988428	AY.3	20210902	USA		Homo sapiens	2697049		Delta
