Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.4055,0.4885,0.2695,0.2835,0.7978794199763484,1.4863473102201255,1.5199635949652521
2,0.5995,0.3135,0.403,0.196,0.23323320322993776,2.301781723582158,0.988208747986773
3,0.509,0.3885,0.3615,0.2385,1.1669716472985052,2.088508499779396,1.2763436279390687
4,0.7115,0.216,0.736,0.42,1.0191869529121005,5.082140461034811,1.9117154115645185
5,0.133,0.7845,0.223,0.6095,0.8078137872092562,1.1386735945916473,3.122854232386371
6,0.4425,0.4655,0.365,0.3695,2.170870517272303,2.1418985356392315,2.2149196665421917
7,0.3585,0.561,0.3955,0.508,4.2813620695462795,2.3298297121425633,3.0675883821840353
8,0.3495,0.524,0.1625,0.139,1.281947508654419,0.8346219123007104,0.7367318108157991
9,0.2635,0.6435,0.298,0.4945,0.3462282808415228,1.6625058261352446,2.619091303548193
10,0.216,0.691,0.2225,0.4295,0.851267008053627,1.1667309888749362,1.9381276727710326
11,0.4575,0.408,0.13,0.0175,1.492961005729422,0.6992753413578915,0.2602447837638226
12,0.637,0.2485,0.3195,0.111,0.4976953331574241,1.764349720229072,0.5911195084241921
13,0.862,0.0955,0.584,0.1005,1.9292407777960325,3.531075015507615,0.5751824638075608
14,0.485,0.386,0.1875,0.043,0.7709201565785965,0.9840265801330236,0.35989511752040976
15,0.5835,0.319,0.3865,0.195,0.11734007066713113,2.1680050370943373,0.9869382890848981
16,0.3455,0.572,0.363,0.4675,0.13824395203918224,1.9735651475966054,2.3834564258662954
17,0.3295,0.54,0.092,0.017,1.4723868057913116,0.5276701815504967,0.34525365968500626
18,0.2325,0.6775,0.255,0.4795,0.445547051842574,1.3928866517410108,2.085565995392841
19,0.323,0.577,0.256,0.2935,0.46117746978434826,1.3436878073704943,1.2953501191384438
20,0.46,0.4535,0.38,0.3025,0.43214330723732697,2.1699751871944617,1.596179995683464
21,0.2125,0.7055,0.3545,0.7235,0.3351149687296189,2.027975610310234,3.862717216925689
22,0.3455,0.561,0.339,0.34,1.3856201315362902,1.9600467452646573,1.509845476273851
23,0.421,0.4875,0.377,0.2895,2.655186163323453,2.1897577649861124,1.4327968289872368
24,0.625,0.2705,0.3185,0.0025,3.9004713760641403,1.9100003333320408,0.20244472397342905
25,0.377,0.541,0.382,0.384,1.8060353830386573,2.177168916643935,1.5345949575428837
26,0.409,0.505,0.3735,0.352,2.8676665493287055,2.1177619656574733,1.6384844318452476
27,0.0505,0.8955,0.3015,0.963,0.5467513142227329,1.550448759484686,6.930963109924653
28,0.1385,0.7845,0.2115,0.623,1.4092058269998953,1.0899758497470557,2.534654931028717
29,0.186,0.731,0.236,0.526,0.8590142045981866,1.2538926715979857,2.801871064336421
30,0.2355,0.683,0.403,0.737,1.340031376252361,2.333057832420484,4.261008923980019
31,0.394,0.5195,0.3875,0.463,2.8181177400378647,2.331904294024607,2.5575086089118555
32,0.456,0.453,0.376,0.376,2.1289685849000346,2.216285292256583,2.197610461393839
33,0.4765,0.44,0.395,0.364,2.186026755471047,2.3599022973497648,2.0931914048744953
34,0.459,0.439,0.4045,0.3715,2.1881402633316545,2.373908478815867,2.143618257829398
35,0.4595,0.4535,0.384,0.381,2.1411456345103437,2.2581797294745813,2.137234612626737
36,0.211,0.6955,0.307,0.587,0.3686662585851338,1.5871496168163528,3.028665570500544
37,0.1985,0.712,0.1455,0.2285,2.0049360390082143,0.7990176133705696,1.0402337299053033
38,0.2415,0.656,0.2215,0.451,1.1057086744869955,1.2484267573519054,2.317338999596771
39,0.377,0.531,0.338,0.37,0.22237650939336107,1.81819428957684,1.9623823459994563
40,0.508,0.3085,0.0685,0.001,3.9348162871551553,0.4005994029705789,0.10806883589387976
41,0.458,0.456,0.3875,0.39,2.2372106267208896,2.3373820473059808,2.292959728156269
42,0.214,0.6935,0.262,0.5295,0.4601002133134816,1.3635506931590906,1.9986400545134269
43,0.96,0.0255,0.714,0.012,0.6861211009074747,4.124893663635082,0.14873958628606676
44,0.174,0.7335,0.267,0.6315,0.6321953902691323,1.4527896534289941,3.262665279700281
45,0.2235,0.67,0.1745,0.21,1.043070872878281,0.9131869487574902,0.9625706380795528
46,0.433,0.467,0.3755,0.3885,2.174456499612501,2.178855376877711,2.1865182157027174
47,0.632,0.2605,0.3335,0.106,0.4671844116311603,1.8878061304720009,0.6144631211160718
48,0.5985,0.2155,0.112,0.002,4.423251885185623,0.6509986238108341,0.09155162303775988
49,0.501,0.399,0.2635,0.0755,0.5253874978949805,1.3441052116364194,0.47609573269840977
50,0.6865,0.151,0.133,0.0045,1.6099973894499868,0.6965701015516591,0.08742224683195966
51,0.5035,0.3025,0.0695,0.001,4.444788540402224,0.45740203265153606,0.10929221070101866
52,0.709,0.138,0.1565,0.0025,1.527604002155258,0.8235612136476739,0.07796407658466681
53,0.71,0.108,0.0905,0.0,1.6968341285358106,0.47244536731597103,0.04396569348474516
54,0.317,0.5645,0.3685,0.5165,0.5922053450033112,1.8903094552299091,2.1680000808202045
55,0.563,0.3435,0.354,0.1865,0.1197145431523723,2.0233955630053932,0.9849826918564506
56,0.286,0.579,0.2495,0.313,1.1275319814385993,1.1717419694404303,1.3459627882942804
57,0.2195,0.623,0.051,0.0185,1.5526345653637226,0.3353185864326828,0.3905275900624666
58,0.107,0.805,0.071,0.214,1.496103193314135,0.41756937901979885,0.9983692602876985
59,0.8745,0.0645,0.4285,0.001,6.918154231339344,2.212900539747527,0.16835817613734924
60,0.596,0.3165,0.661,0.495,0.6877351445043257,4.211166589276914,2.0553454399971143
61,0.297,0.6325,0.395,0.62,3.4758557809570245,2.2863244431358827,3.688662808387331
62,0.483,0.429,0.4025,0.376,2.0851471196864613,2.379301860580943,2.216428894125642
63,0.124,0.8075,0.264,0.7375,0.44590388155498595,1.3502313573669071,4.218937579236647
64,0.643,0.215,0.119,0.008,1.2296576269086075,0.6172684732389226,0.13483499750883268
65,0.1875,0.6875,0.0435,0.077,2.7945961093508602,0.3085812480018384,0.5398851673196345
66,0.6905,0.2,0.2715,0.0155,3.2785511690107483,1.5618953552947694,0.23362184989042145
67,0.553,0.351,0.355,0.125,3.635326927439138,2.1170455211383086,0.7211681452903891
68,0.56,0.3535,0.3655,0.144,4.23011250347534,2.129022000140038,0.8394397870954511
69,0.642,0.2555,0.327,0.103,2.5132976491270997,1.9494625508119747,0.6001272390111803
70,0.476,0.432,0.3775,0.3695,2.215563493517422,2.258289646098912,2.136991721153503
71,0.3125,0.5715,0.197,0.204,0.7100700736169883,0.9818025430071562,1.0442243066968226
72,0.22,0.646,0.082,0.1205,1.1729129286472095,0.49835203206920375,0.7131484832775876
73,0.4495,0.427,0.234,0.1415,0.55803382817539,1.1802185524762234,0.7430758715549952
74,0.4135,0.4495,0.12,0.051,0.7551600950151003,0.6023646467876195,0.4093527886036634
75,0.6385,0.2085,0.1265,0.0065,1.2173420514153133,0.6653628432612362,0.12129805470145315
76,0.2025,0.6765,0.148,0.255,0.5585276685168274,0.7450663235226445,1.1180484952330618
77,0.3135,0.543,0.1055,0.1045,0.9286863860975069,0.5675208349803864,0.6372241009534276
78,0.6605,0.1685,0.09,0.001,1.2144419229403254,0.4682645659598071,0.07780649342203559
79,0.5925,0.2955,0.2835,0.114,0.4305713487421659,1.5890210373615257,0.6299385853640225
80,0.5935,0.3095,0.321,0.1435,0.15652644113632022,1.7958277504261484,0.7290639186870445
81,0.6625,0.156,0.043,0.0005,1.6507377607574973,0.29184377517185356,0.05376178451601484
82,0.653,0.131,0.0365,0.0005,2.485518402889054,0.257499704786141,0.04456170174797998
83,0.6355,0.2305,0.2015,0.031,0.4100433402116231,1.027429854015151,0.25434910369204894
84,0.1555,0.7465,0.151,0.371,0.7467171050385648,0.7461834965526999,1.8316321379479794
85,0.1985,0.67,0.1085,0.19,1.1729989381574228,0.5786955733368477,0.9436686503755947
86,0.3235,0.522,0.044,0.003,1.554802617378067,0.30651953547312294,0.24189952502990217
87,0.5805,0.321,0.34,0.1485,0.10111259898059992,1.8046508373722379,0.770258113671131
88,0.5835,0.306,0.2715,0.126,0.3419571330208003,1.5133209587285303,0.694735757893824
89,0.61,0.264,0.217,0.0585,0.3709497985262843,1.19741524909164,0.3472672412250471
90,0.104,0.798,0.019,0.06,0.7250015121043687,0.21881326073420743,0.5385626483630743
91,0.313,0.554,0.0725,0.0735,0.6252435171133098,0.40276936734880775,0.46506175193829885
92,0.536,0.304,0.0735,0.0115,0.46694321948542394,0.3904303999402856,0.15778025482338331
93,0.2595,0.502,0.0085,0.0065,2.0925547468888093,0.28452229202212487,0.32782377144018243
94,0.1555,0.7565,0.136,0.384,0.3734282105776487,0.6644947893921942,1.7446333676781844
95,0.2885,0.598,0.184,0.2555,0.17183389599648552,0.8940374449036486,1.2630417664542326
96,0.0695,0.868,0.0645,0.314,0.6125767192008482,0.34964147062290735,1.2497954680346222
97,0.2485,0.535,0.011,0.0035,1.5541436003599007,0.3131530619193899,0.37072775757964227
98,0.3795,0.448,0.5965,0.657,0.24402543559222667,3.1874955570929906,3.226038867393208
99,0.568,0.2405,0.024,0.0015,0.8688746979921882,0.22810747333227394,0.07844081169077444
100,0.0215,0.931,0.0625,0.58,0.6663063126173484,0.3934549110093847,2.4449002777924593
101,0.0845,0.807,0.0105,0.0395,1.4561684380693645,0.16438302620171724,0.4562228550902526
102,0.7125,0.0855,0.0,0.0,3.874739059915064,0.14721655091737051,0.04622866203370142
103,0.5415,0.2375,0.015,0.001,1.3056888819455474,0.194703980170933,0.07737992509857451
104,0.06,0.8685,0.07,0.377,0.43433281017384334,0.39708588415598106,1.5012006216819422
105,0.313,0.542,0.049,0.0435,0.754031666892912,0.3118181759936015,0.3736993554084709
106,0.55,0.2605,0.037,0.0025,0.6252632475241631,0.27056250835674633,0.11373967491629143
107,0.9655,0.008,0.543,0.025,0.8828685210779796,2.110662603779036,0.3234604637964108
108,0.541,0.318,0.1515,0.0645,0.2854317126490065,0.760124370887724,0.4295574455146006
109,0.5515,0.3495,0.3125,0.1915,0.08505135104230283,1.6467131245054363,0.9819411467168393
110,0.559,0.2595,0.018,0.0005,0.9383761827046309,0.2087886833210413,0.07950816664665535
111,0.2935,0.5985,0.1535,0.2185,0.3258631838446052,0.7789947837655554,1.0643937081271349
112,0.434,0.3905,0.362,0.287,0.39390692931398447,1.5133771601643544,1.1616381420723938
113,0.547,0.287,0.0405,0.0025,0.6857111916103217,0.2991251008801764,0.11946172346580487
114,0.0715,0.862,0.07,0.41,0.5191313904133672,0.4035450936167868,1.6511318185761752
115,0.5255,0.1535,0.0,0.0,2.5176630681037238,0.081450033513295,0.03025564349802916
116,0.113,0.803,0.0605,0.257,0.45176186122509987,0.36796761541559875,1.141687569181013
117,0.525,0.3775,0.2905,0.188,0.08267363382259119,1.5127052113631603,0.987717048717003
118,0.074,0.832,0.024,0.1425,0.8872869375028948,0.23750725362612404,0.7848480550118507
119,0.0155,0.959,0.092,0.772,0.42884358957791174,0.4772872947879056,3.6240126326012776
120,0.2335,0.6765,0.232,0.46,0.11404868000306347,1.1958413893331163,2.4579445175030084
121,0.172,0.721,0.1195,0.3,0.4534868523964653,0.6062173675793652,1.3694312896635747
122,0.002,0.9855,0.1025,0.9395,0.3671503914203176,0.5155831239571009,5.779317125665813
123,0.551,0.2465,0.0155,0.0005,0.9022530548965374,0.20465721686118674,0.08034998424696134
124,0.6165,0.1535,0.268,0.059,1.1312194592790246,1.0624077518843809,0.6263231378531373
125,0.5155,0.3875,0.2925,0.2135,0.07632343778845824,1.5969871941365263,1.1131527685334386
126,0.902,0.0335,0.1835,0.006,1.310016411668401,0.8726951561490554,0.1513632321202317
127,0.2335,0.5745,0.1015,0.137,0.9673853635210902,0.6024966520660622,0.8013972443509919
128,0.325,0.466,0.0045,0.0035,1.7187686606380976,0.12476615220297788,0.13432874179388365
