Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.417,0.4815,0.2675,0.3055,0.062187860000796444,1.347361479162264,1.6211789077903218
2,0.9465,0.0225,0.9295,0.1705,0.20587366912642183,5.947531970291171,0.8436054787795532
3,0.417,0.4695,0.2265,0.257,0.13975828472163085,1.2710549801665902,1.3721498646431936
4,0.4155,0.453,0.2435,0.2635,0.1440739095054557,1.2273686766634637,1.4076667347005642
5,0.39,0.5,0.247,0.302,0.09861207228319749,1.2696764476846445,1.593801250674111
6,0.094,0.186,0.0005,0.0005,1.5083871613439748,0.032213027938261946,0.03996678726410982
7,0.8605,0.0765,0.5585,0.114,0.4006359598370139,2.55371274969378,0.5902210005000779
8,0.3935,0.477,0.2245,0.264,0.14172910422188867,1.2166460196981395,1.4085346113817703
9,0.391,0.464,0.2085,0.2555,0.20163622888297683,1.0884259121843372,1.4075087810405034
10,0.399,0.4815,0.139,0.183,0.16553970823354458,0.7238434248700507,0.9064275805976738
11,0.738,0.067,0.893,0.5235,1.5208161748899731,2.9280745271744935,1.6165470464555003
12,0.394,0.4905,0.234,0.27,0.14047030699131013,1.1835329673792239,1.4029213115481143
13,0.1295,0.2375,0.0015,0.008,1.3489656772111327,0.04526976182164576,0.07179401987252608
14,0.4065,0.477,0.2325,0.265,0.13046817889450155,1.231644875325975,1.44692102449288
15,0.402,0.4785,0.133,0.181,0.18091441808052605,0.6991637273056184,0.906227218748791
16,0.399,0.477,0.137,0.1755,0.22000773820165304,0.6833280452491989,0.8695814585695026
17,0.0835,0.1635,0.0005,0.0025,1.6855747507540622,0.029365625790220947,0.04457150006538241
18,0.4025,0.5,0.2205,0.2665,0.11209001041521514,1.2005021841418932,1.4207672687280488
19,0.2565,0.357,0.0105,0.0235,0.8754137550509381,0.11970109586207375,0.1740775128646889
20,0.7075,0.19,0.4005,0.141,0.3918665101450548,1.826486582069321,0.699150126001251
21,0.3025,0.4295,0.0855,0.111,0.5662161392359588,0.43058653247321793,0.5598191827442278
22,0.812,0.056,0.9495,0.512,0.871986979872639,3.8908385311272853,1.8522626508077404
23,0.32,0.443,0.0665,0.113,0.4900776772276919,0.3989450938382724,0.5683096801554519
24,0.081,0.1855,0.0,0.0015,2.4749925355854483,0.026808736101300995,0.0441077261909972
25,0.2825,0.1445,0.0,0.0005,2.7941121723440063,0.06438738099590005,0.0481198007336399
26,0.208,0.2905,0.0165,0.0235,1.1059010164315413,0.13137883489053823,0.15848870243093452
27,0.3965,0.501,0.231,0.2755,0.11133010335321998,1.2607925255938321,1.5179191342842029
28,0.057,0.139,0.0,0.0,1.9669292005547718,0.018143127179834257,0.024930145351879245
29,0.069,0.1665,0.0,0.0,2.9066419847265292,0.018280762344993456,0.028012213587547647
30,0.3895,0.469,0.1985,0.2435,0.2178836477348202,1.0334114068692404,1.2968836344680932
31,0.2615,0.343,0.051,0.0665,0.9135652623943605,0.2907034354248793,0.3723325191140515
32,0.081,0.1525,0.0005,0.0,1.935318181839746,0.024912361719353078,0.03041759692734427
33,0.1655,0.2725,0.0015,0.0075,1.220207027923114,0.06053766455973789,0.08358383885833189
34,0.3175,0.458,0.0685,0.1045,0.47661407567855163,0.40150004489887847,0.572305641889246
35,0.193,0.308,0.0195,0.0265,1.0721859370241174,0.12606115420095343,0.16614333234649492
36,0.4225,0.458,0.2365,0.2595,0.13253659332403453,1.2934399593010273,1.3201002221167104
37,0.132,0.228,0.0015,0.004,1.3508149570580197,0.05127156203562004,0.0710741036584998
38,0.209,0.343,0.0065,0.0165,0.9950777939398235,0.0862556781403689,0.13681898599349585
39,0.4215,0.438,0.2345,0.248,0.19259463246740055,1.1970409797724872,1.3370437402542708
40,0.403,0.483,0.2235,0.2665,0.09484768839181117,1.213386262027294,1.47659539497992
41,0.199,0.329,0.0145,0.023,0.9969983314958086,0.11950532053261029,0.16764166793593288
42,0.3185,0.438,0.0625,0.109,0.4752139659380068,0.3639344446147198,0.5781265091365199
43,0.4115,0.476,0.2345,0.264,0.10548111675865919,1.1760715227215897,1.4574924053510645
44,0.1755,0.2815,0.008,0.0215,1.13870859010532,0.08980629857791841,0.13336893660451188
45,0.3375,0.401,0.1565,0.176,0.5118985345358522,0.8244863107390474,0.9326753124857927
46,0.401,0.491,0.224,0.264,0.11836266825730372,1.231037985027935,1.4344818735594786
47,0.694,0.185,0.2435,0.0835,0.4173691633684692,1.0701091784096162,0.4521900519625578
48,0.4035,0.489,0.2335,0.27,0.12387739644465703,1.2053368774388622,1.4203622720859532
49,0.327,0.416,0.157,0.182,0.5231217795221612,0.8895990655744481,1.0217991579687182
50,0.3075,0.426,0.016,0.043,0.6244881810561973,0.18457477042526127,0.26775682227522474
51,0.1225,0.234,0.002,0.002,1.3455677767764176,0.04206112438169491,0.05950213529508249
52,0.0735,0.151,0.0,0.0005,1.9574223176700691,0.024269639293344605,0.033723684248144765
53,0.4125,0.4775,0.226,0.2835,0.10419305568462435,1.1861452431577069,1.4284353102549434
