Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.967,0.0105,0.375,0.013,0.665223344071549,1.738321712290157,0.14113808072916956
2,0.097,0.044,0.0,0.0,1.4628096448402603,0.022966866797873672,0.016649121082235204
3,0.0085,0.958,0.0,0.045,1.967088560937568,0.08587818932866899,0.5448779609504041
4,0.0635,0.806,0.0005,0.025,1.633041294037152,0.1836623401660295,0.48752306391015987
5,0.0475,0.0195,0.0,0.0,1.6299544754404838,0.014479729683583662,0.012119145487407022
6,0.3925,0.196,0.0015,0.0,1.0782223652489529,0.0902071304047762,0.05035769498097584
7,0.238,0.1325,0.022,0.0145,0.5768757967044824,0.1381446053065131,0.1002201440088398
8,0.1985,0.0685,0.0045,0.0075,0.6750870365888867,0.05421418457097145,0.0539516836025867
9,0.755,0.08,0.0015,0.0,2.331688901667707,0.23876278989502242,0.08547056726898197
10,0.1185,0.042,0.0035,0.0025,1.0758744713240949,0.043818957581010294,0.027486677233267014
11,0.852,0.088,0.5555,0.0765,0.12113865163292231,2.4149692437464525,0.42996218330332975
12,0.029,0.008,0.0,0.0,1.68826405440467,0.012097760126878623,0.010733583781025124
13,0.21,0.099,0.004,0.002,0.6098215408808686,0.057316161544007996,0.03783266861675835
14,0.494,0.16,0.0,0.0,3.41170476406404,0.0779504652419776,0.046997477109979625
15,0.0985,0.769,0.001,0.005,1.2422010467734783,0.10464361907597533,0.2715948545680832
16,0.062,0.0235,0.0,0.0,1.2351217726008752,0.018108129364852725,0.014185765558025304
17,0.4165,0.275,0.0345,0.0155,0.2732999127101445,0.2487662030440288,0.16293348028888469
18,0.037,0.01,0.0,0.0,1.7180231842096505,0.0136815888238694,0.0114357756138856
19,0.215,0.0935,0.0025,0.0,0.5711748241885941,0.04629372455523203,0.02724271768487058
20,0.1995,0.096,0.0005,0.0,1.133519045415251,0.053067218084768004,0.03175488710268929
21,0.0405,0.013,0.0,0.0,1.7953882212239405,0.01294010790536622,0.011175190100931766
22,0.031,0.0075,0.0,0.0,1.6531106481523699,0.012431700126548767,0.010683094054445992
23,0.0335,0.011,0.0,0.0,1.6893775145278007,0.01273842198075839,0.011167380318410946
24,0.1585,0.0335,0.0005,0.0,0.6975718974707934,0.027604420700898236,0.015792928677167833
25,0.432,0.255,0.0885,0.047,0.2857777073567107,0.45453284518671655,0.2889668373061191
26,0.384,0.2855,0.2065,0.1665,0.36135207106121026,1.111490434024839,0.8863453838798196
27,0.049,0.013,0.0,0.0,1.3765342143307673,0.013993412381859084,0.011539123314248558
28,0.057,0.015,0.0,0.0,1.7979222441421239,0.01385722272035154,0.011130901066404165
29,0.284,0.13,0.0205,0.0075,0.5772103848584297,0.13263878773729815,0.08281455623671766
30,0.1425,0.0325,0.0,0.0,0.7433279736794237,0.023237327250823548,0.015191280310110104
31,0.0915,0.0295,0.0,0.0,0.9848904555127138,0.02204821316576302,0.013967141051719749
32,0.113,0.047,0.0005,0.0005,1.2592782613727167,0.03072122213417795,0.020547371018221447
33,0.092,0.047,0.002,0.0005,1.2184704354561415,0.03259349333483857,0.02001330078937292
34,0.302,0.0215,0.0,0.0,2.1268774775729464,0.040254354759569275,0.015425272268695117
35,0.275,0.1325,0.0005,0.0,0.9484406888125019,0.0758486560175554,0.04445306780637947
36,0.0195,0.008,0.0,0.0,1.6163528179077953,0.012045593009339337,0.010646692630163261
37,0.656,0.0495,0.069,0.003,0.7524288132692427,0.3931035432276123,0.07915146531236471
38,0.0375,0.015,0.0,0.0,1.5393631725533174,0.013420327580979932,0.011864498523074704
