Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.3815,0.503,0.256,0.29,0.818253986559497,1.3279382124860761,1.5147457032563059
2,0.5895,0.321,0.4035,0.1935,0.22290967889373625,2.2932699784608475,1.0307167715237995
3,0.492,0.413,0.3475,0.248,1.0916947670869455,2.048884609363052,1.2907237834440402
4,0.6535,0.2635,0.729,0.4765,0.9395579458835989,5.03281078313158,2.1920817482194637
5,0.127,0.7905,0.2205,0.6235,0.7650874941160476,1.1415547484394208,3.14545526444759
6,0.441,0.4695,0.3675,0.3785,2.195567029279362,2.2384698498911195,2.2018265393407037
7,0.387,0.5275,0.4135,0.5025,4.879815526871033,2.493225896124769,3.04889926035919
8,0.3165,0.5555,0.1615,0.1555,1.245837418208795,0.8662186157279071,0.8328253778904288
9,0.24,0.6755,0.2835,0.547,0.35227500667556044,1.5275077432874316,2.7472681060190083
10,0.21,0.6965,0.239,0.47,0.7816311915784782,1.2880194821536706,2.169203123711357
11,0.461,0.3965,0.1315,0.0195,1.5606120978706515,0.7323789143072305,0.26219112994342547
12,0.6385,0.2515,0.342,0.1275,0.46652555804591067,1.9434272990370185,0.6811617905876534
13,0.8365,0.1095,0.5985,0.102,1.8631347370822295,3.6090056004323543,0.5749652054095612
14,0.492,0.3935,0.211,0.0355,0.8878729364165815,1.0518587650836617,0.3492866967968453
15,0.591,0.321,0.3855,0.2155,0.10369177062251525,2.182384639351385,1.0460742599523876
16,0.336,0.5725,0.3625,0.496,0.14199294097157603,2.075923997598888,2.6033307088171638
17,0.3105,0.5465,0.097,0.015,1.5928014088088058,0.5298400127658582,0.3534005124619416
18,0.245,0.6635,0.263,0.4585,0.5272297572452467,1.361674187718381,1.9486587401641848
19,0.3135,0.59,0.2585,0.3165,0.47404104980817174,1.2836078322687912,1.4485177441561192
20,0.4465,0.4645,0.3795,0.339,0.4247435587270392,2.1356715507710886,1.849508041633823
21,0.208,0.712,0.366,0.731,0.37643785841326766,2.057355215227533,3.8649456577241756
22,0.3455,0.564,0.3425,0.3745,1.3598917451968555,1.9332070672721935,1.6389796211543777
23,0.4255,0.495,0.3775,0.289,2.741847013503131,2.209751632903859,1.3841613467041733
24,0.6205,0.2685,0.3325,0.003,4.098227933011959,2.0008855353137234,0.19887443051282475
25,0.3655,0.5425,0.3835,0.42,1.8412786400703003,2.2003883521825913,1.6421030127068041
26,0.3715,0.54,0.371,0.401,2.518342385454612,2.1194580374834917,1.8570220196795963
27,0.039,0.9125,0.3015,0.9805,0.562290277110321,1.495049400951789,7.278367007470626
28,0.113,0.8175,0.214,0.69,1.4040440497379396,1.1562623315901317,2.93730843074799
29,0.1665,0.747,0.247,0.5705,0.8024642040328388,1.3330418890943163,3.0330646665573697
30,0.225,0.6895,0.392,0.759,1.3810877542107776,2.265445742347076,4.465023357905136
31,0.3725,0.5345,0.386,0.4495,2.9323436046635205,2.2918406471959334,2.6313073241564036
32,0.4645,0.451,0.389,0.3835,2.248481582384319,2.2902658367904625,2.0976575958293258
33,0.444,0.469,0.387,0.3925,2.2732556849477077,2.235272323486572,2.199982608777562
34,0.429,0.483,0.3735,0.4025,2.3551256765658213,2.1708714873184767,2.404180653512337
35,0.4545,0.4545,0.381,0.3845,2.1938831508397842,2.189596548742241,2.243370144185543
36,0.2325,0.681,0.3065,0.576,0.3891585905581186,1.7044488325499163,2.9406080996083306
37,0.192,0.704,0.1365,0.218,2.19437754660466,0.7954010002014835,1.0261913203171518
38,0.2165,0.6715,0.2145,0.4365,1.1540859018017677,1.149514657115214,2.2753141795508083
39,0.3725,0.5225,0.341,0.399,0.21230183514185558,1.8129786899494467,2.094689610477374
40,0.4725,0.3105,0.056,0.0,4.358079134291972,0.3740496208760934,0.11429604094385559
41,0.444,0.4685,0.375,0.396,2.185783909540598,2.170317270391048,2.2509770973784775
42,0.214,0.697,0.2655,0.511,0.5288274349781775,1.3379349390943593,1.9641397876862352
43,0.9485,0.0285,0.7315,0.0145,0.6911786671398764,4.382790887665659,0.16924600884352403
44,0.1705,0.742,0.2955,0.661,0.5860952092581885,1.523465955413414,3.473472526858968
45,0.205,0.6905,0.1635,0.1965,1.1625246728790808,0.8389460617165491,0.9216181484701343
46,0.4505,0.4555,0.388,0.3785,2.1191212653599045,2.1752717796544663,2.161846786680293
47,0.61,0.2935,0.316,0.134,0.531707945838994,1.8287618992579195,0.7030818892456127
48,0.577,0.26,0.113,0.0005,4.127497428899058,0.6760935024417477,0.1138196962393075
49,0.4655,0.415,0.2235,0.0865,0.6121802029372456,1.1395391760663744,0.5163316071997204
50,0.705,0.1555,0.153,0.004,1.635881888905707,0.7902687063006584,0.09421048312761116
51,0.503,0.3165,0.077,0.0015,4.267195841756285,0.4509462364198324,0.12680828605706845
52,0.7045,0.145,0.148,0.0035,1.4671620764214761,0.8024151428565746,0.08877052792898313
53,0.7035,0.12,0.091,0.0,1.7710713120635422,0.5143229896338817,0.04872774537403653
54,0.3055,0.585,0.3665,0.543,0.6120832121457003,1.883024339057326,2.407516058108998
55,0.5905,0.323,0.3545,0.188,0.12633075450588577,1.9689264088480043,0.9827068495648252
56,0.2935,0.5935,0.267,0.353,1.1302264632889099,1.2462413344559566,1.4420469337143702
57,0.224,0.6275,0.055,0.023,1.6907429530357545,0.3417167895266164,0.40035858189671714
58,0.0945,0.815,0.072,0.25,1.532337242586413,0.39496994066290103,1.0723089521990246
59,0.8175,0.1,0.389,0.001,6.568849139086531,2.0571341357963373,0.21599439606967333
60,0.572,0.34,0.6315,0.493,0.7699833179067515,3.92763477323272,2.037484802710582
61,0.2645,0.646,0.3805,0.654,3.8020209928378295,2.2238758040282587,3.945789083493544
62,0.442,0.4595,0.396,0.4055,2.170037965634873,2.3247527010151527,2.3943808243876825
63,0.119,0.8175,0.2505,0.7155,0.44953965151107256,1.2750053059851754,4.0905659088427
64,0.634,0.2205,0.1395,0.0165,1.146658960570826,0.724579483466515,0.17973863465554785
65,0.19,0.6925,0.067,0.117,2.640540420021129,0.3992788892973742,0.6733534152448895
66,0.682,0.2085,0.2775,0.0235,3.1488916570989725,1.5347233095605093,0.28565533508747626
67,0.5395,0.3685,0.341,0.13,3.6705285533775056,2.0516301653746876,0.7218564723266753
68,0.52,0.3805,0.3645,0.164,4.252372247123061,2.094335937939981,0.964316148072284
69,0.6135,0.2745,0.3265,0.113,2.53218600271318,1.8918690240348104,0.7201742861817126
70,0.4595,0.449,0.388,0.3815,2.1517998259755466,2.2018149637373114,2.1487681782207257
71,0.309,0.597,0.226,0.2635,0.6550792148738566,1.0986284237640134,1.1918485655317235
72,0.1915,0.685,0.094,0.147,1.1214972147467412,0.5350887305880626,0.8180909562439203
73,0.413,0.474,0.239,0.182,0.5319065800481206,1.215061121062635,0.9267811629171573
74,0.3845,0.4725,0.113,0.0655,0.8297359167547448,0.572417845199159,0.4440168308796176
75,0.6245,0.232,0.1345,0.008,1.1068992124289976,0.6557334097658674,0.1387380506428863
76,0.211,0.686,0.147,0.2425,0.6310529760001083,0.7195763875866349,1.0670557909852307
77,0.3085,0.564,0.125,0.1515,0.8882589589864184,0.6689581532287856,0.7504453310271315
78,0.6385,0.1765,0.081,0.0015,1.375081845424945,0.4615504503316818,0.08149968149320262
79,0.5935,0.2975,0.29,0.1345,0.42697101760041856,1.5447911650894817,0.7024429683312514
80,0.578,0.322,0.3295,0.1525,0.15239883906849624,1.7814339139840187,0.857771799939643
81,0.644,0.1735,0.05,0.0005,1.6419083808459427,0.33743130381310077,0.06609345801256283
82,0.6425,0.1415,0.037,0.0005,2.5072871093472444,0.26717424086196495,0.05322079761723948
83,0.6385,0.234,0.2095,0.0375,0.4141306385080655,1.1067479578306416,0.2839212721871839
84,0.148,0.751,0.141,0.343,0.8177156213175568,0.7409327989529236,1.647281170545194
85,0.211,0.6785,0.1245,0.2055,1.12617574776748,0.6187631870606256,0.9899547628627012
86,0.3335,0.504,0.0455,0.0035,1.7511067833759937,0.3107034583312548,0.23200703871588937
87,0.595,0.312,0.343,0.1455,0.11175008403864803,1.868620615980361,0.7881202961973869
88,0.5755,0.3015,0.267,0.1285,0.34138637679241357,1.51588475110999,0.6749955164601367
89,0.5965,0.2775,0.2175,0.056,0.35024907433486374,1.0902612239597236,0.35585081261245444
90,0.1055,0.7755,0.013,0.047,0.8316602266953779,0.1910274447020321,0.49440863747123065
91,0.3085,0.554,0.062,0.0725,0.5844738804349837,0.3797571852464341,0.49471425231448574
92,0.543,0.301,0.086,0.0115,0.4415832192965518,0.45174781985400597,0.18305089032035
93,0.244,0.5265,0.0165,0.0115,2.026346728678322,0.31080645019613123,0.377039038956767
94,0.155,0.7615,0.1455,0.4355,0.32611019746205566,0.7180416943496585,1.9501980690782543
95,0.275,0.6095,0.1625,0.2435,0.20604635272558183,0.8210354811731004,1.1571098055848092
96,0.0665,0.866,0.0565,0.3755,0.6273669663650523,0.3674050605462115,1.414091934129442
97,0.2325,0.5485,0.015,0.005,1.6613642172507344,0.302365035905225,0.37438179674062083
98,0.392,0.4425,0.627,0.6895,0.23583507787554206,3.3682959890603,3.4315177117396685
99,0.566,0.213,0.024,0.001,0.9017185163029967,0.22231026332036677,0.08078164526688363
100,0.0215,0.9375,0.0655,0.6185,0.6167875699072536,0.40008648470737157,2.6648252407803583
101,0.0665,0.835,0.0115,0.0615,1.3332427674909029,0.17222377020094873,0.5559653682740896
102,0.6825,0.1165,0.0,0.0,3.7828893268409334,0.15928015865266143,0.05692999608550794
103,0.5555,0.2425,0.02,0.001,1.11264637544464,0.22261106442218032,0.0867958051009222
104,0.0595,0.877,0.0665,0.393,0.43547480927572874,0.38974326042507595,1.6424402416779973
105,0.313,0.5305,0.063,0.065,0.678145922573508,0.3793781082154219,0.4526862186544052
106,0.54,0.283,0.0405,0.0035,0.6632064203298013,0.28316898206772695,0.11635205742110354
107,0.952,0.0125,0.6175,0.0525,0.812332205869727,2.4746515024358198,0.43637005888239455
