Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.405,0.502,0.2595,0.3105,0.05844473769590763,1.3148711732066185,1.6702955144206761
2,0.9625,0.011,0.9125,0.156,0.1938483293607797,5.909743573793605,0.7681404778564996
3,0.368,0.4335,0.184,0.2375,0.19946383425101274,0.9646371105227938,1.2356019690522058
4,0.385,0.431,0.2075,0.2355,0.207679488531689,1.0544652896251174,1.300032119144991
5,0.407,0.451,0.2255,0.2715,0.11740813666843436,1.143318284352397,1.4156508673383228
6,0.061,0.096,0.001,0.0015,1.2517465552442077,0.02450585314655781,0.03289320101289503
7,0.846,0.0795,0.5155,0.0955,0.2917520236524374,2.3583415076262737,0.5116874270068555
8,0.395,0.421,0.2115,0.2325,0.20338876714290985,1.093178049054194,1.2120675294717254
9,0.3725,0.457,0.194,0.254,0.16497565239555503,0.9803856474017081,1.3315724974869734
10,0.3655,0.461,0.119,0.142,0.20507238946056572,0.6299734263592258,0.757979218160273
11,0.751,0.0635,0.846,0.4345,1.2915988675816303,2.6899432506979033,1.4420959566066396
12,0.379,0.422,0.2105,0.2445,0.20751893994339604,1.062053886282213,1.2880198121207618
13,0.075,0.1115,0.0,0.005,1.152828662478411,0.029110139883315622,0.049672819523125286
14,0.3775,0.409,0.1895,0.2095,0.21725268688042232,1.030716707136055,1.1340907141326761
15,0.329,0.467,0.0955,0.149,0.2575412264111413,0.5413504973850617,0.7849872464141328
16,0.357,0.4475,0.104,0.1655,0.2554751158539594,0.526895848309517,0.7675513847995725
17,0.062,0.102,0.0,0.0005,1.2781604276592415,0.022429333202725225,0.028735467037351883
18,0.41,0.4565,0.207,0.2805,0.10694730800680335,1.1385666186745074,1.375237299838897
19,0.1,0.13,0.004,0.008,1.0015308960405347,0.05207236528749757,0.06618375669342018
20,0.687,0.181,0.342,0.129,0.2938666728695559,1.571655371548132,0.6461274552469006
21,0.2635,0.3415,0.0535,0.0905,0.519762573197571,0.3054875879415864,0.48117374042846034
22,0.7985,0.057,0.8725,0.412,0.8027513443806354,3.103934920955763,1.5256104348223942
23,0.2525,0.324,0.049,0.0825,0.5713076023704,0.292174177404414,0.4041913942407125
24,0.064,0.1255,0.0015,0.0,1.9132422992795515,0.024083961268363024,0.029577716975397385
25,0.231,0.1355,0.0,0.0005,2.7049768453158407,0.05454947357498554,0.03961826610666183
26,0.12,0.168,0.0075,0.017,0.8971816834863761,0.07169581996527696,0.1139104475020122
27,0.3785,0.4735,0.2125,0.257,0.13136026284861999,1.1130103136906582,1.343785886392717
28,0.0535,0.126,0.0005,0.0,1.5681704860465842,0.01896605065602172,0.028673678833501054
29,0.0405,0.122,0.0,0.0,3.131005067111325,0.01438284205699326,0.020861796962904806
30,0.389,0.432,0.2035,0.2425,0.18481775798563133,1.0936675958544433,1.2770989896317146
31,0.1865,0.2625,0.033,0.0495,0.7495374426355023,0.19911483889398446,0.296270158200377
32,0.045,0.1095,0.0,0.0,1.514481964221148,0.018644074895376016,0.02542788711146434
33,0.117,0.18,0.001,0.011,0.8498712292923124,0.055559640757650415,0.08771289981216447
34,0.234,0.3025,0.044,0.071,0.5700708169569959,0.2791037606241142,0.38892805451289386
35,0.148,0.192,0.008,0.02,0.8503135137402351,0.0888642094834849,0.13202309340070856
36,0.411,0.4555,0.238,0.264,0.11301882073750444,1.2691251198641118,1.4282697282347907
37,0.0675,0.1225,0.0,0.005,1.1508743684484422,0.029694805151631053,0.04765523059034482
38,0.079,0.1205,0.001,0.007,0.9733505399846907,0.035948350157473156,0.060005632809728315
39,0.3715,0.436,0.202,0.242,0.19369067058692382,1.0280614366957355,1.2779377917265948
40,0.3925,0.464,0.219,0.265,0.12497524927090514,1.186907054861333,1.4496063221686215
41,0.1155,0.163,0.008,0.018,0.9389950724340028,0.07377023713176643,0.10403187515320185
42,0.236,0.318,0.049,0.072,0.5695991790618532,0.26344423817543144,0.40792254950287615
43,0.385,0.4655,0.2135,0.2635,0.11811084171985349,1.1394480584399203,1.3628391634867925
44,0.1225,0.176,0.0055,0.0125,0.8882031757174244,0.0699904264253685,0.10878566380874881
45,0.29,0.3645,0.132,0.167,0.5247441525562614,0.697819821688195,0.8652654346428292
46,0.4035,0.4675,0.2165,0.2755,0.10125012717759325,1.130802353382379,1.3865646718093427
47,0.677,0.182,0.1795,0.069,0.44632474275371137,0.8293340109215526,0.3807685664789939
48,0.3985,0.468,0.2405,0.281,0.11862758363619039,1.2495829132126743,1.4925618575347603
49,0.301,0.349,0.151,0.1835,0.4900343463402406,0.8075046963809728,0.9709078723090079
50,0.151,0.212,0.01,0.0155,0.7940891599130814,0.08503376395936832,0.12177890301466089
51,0.059,0.1025,0.0,0.0005,1.3266363481586612,0.020251163529674314,0.028020579092046704
52,0.0465,0.102,0.0005,0.001,1.535270470694975,0.019698622548841187,0.028246141891793645
53,0.3895,0.47,0.2265,0.269,0.12050906153744359,1.1437412254606596,1.4418229702293883
54,0.332,0.438,0.087,0.137,0.2861239349849544,0.4887277345280136,0.7293815511080872
55,0.2485,0.4585,0.003,0.0025,3.4386078807803377,0.1808393376206109,0.23093959707495143
56,0.406,0.4425,0.2205,0.259,0.1363005065156389,1.1501857229997428,1.3098588108917937
57,0.369,0.4255,0.2155,0.225,0.21072195967680096,1.100744590672137,1.2742816621982282
58,0.397,0.46,0.2165,0.26,0.12054345570227104,1.1508566543156766,1.3751757622779293
59,0.404,0.4785,0.246,0.2945,0.0838700433246558,1.2544445107312985,1.6009973051087045
60,0.3665,0.445,0.187,0.243,0.1830306216810773,0.9718951463219041,1.278523881443319
61,0.1255,0.1835,0.01,0.0165,0.8887496140444235,0.07772084649711028,0.11886674780895509
62,0.1965,0.231,0.0195,0.033,0.7454100426181646,0.14094815756819018,0.19641334287172516
63,0.4055,0.4725,0.2265,0.259,0.08052279507415948,1.1451663738677103,1.3682189047511002
64,0.091,0.146,0.0025,0.007,1.029322272709132,0.049026672331484285,0.06247097218810796
65,0.979,0.004,0.54,0.0245,0.8861830110070761,1.8604771283622084,0.2128241412988745
66,0.223,0.3155,0.026,0.046,0.5934022457438759,0.16879993040611307,0.2583711888278279
67,0.302,0.37,0.0655,0.097,0.42450343157590836,0.37166521213391956,0.4990974083795236
68,0.035,0.1075,0.0,0.0,3.4801687242308015,0.013276993028608516,0.019554837435616198
