Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.901,0.041,0.174,0.0105,0.6852302244315523,0.7946880054497973,0.14027986327713735
2,0.938,0.005,0.001,0.0,1.315747976946841,0.20819346360855193,0.021143188342907612
3,0.0095,0.9165,0.0,0.037,2.1105890676609236,0.1266025390037309,0.5141285706727898
4,0.235,0.433,0.0135,0.0215,1.6946445950339266,0.3900516522237024,0.46377610234448113
5,0.956,0.0035,0.0005,0.0,1.5330519536430427,0.21206495594569866,0.015741908622497004
6,0.9925,0.001,0.026,0.0,1.1142551076924352,0.4458944788120572,0.03659676742550791
7,0.214,0.117,0.007,0.006,0.5810014173424664,0.07595765233673776,0.06960219220175828
8,0.174,0.0675,0.001,0.003,0.6736444688640658,0.03886970438375346,0.03310718778992003
9,0.704,0.083,0.0,0.0,2.2772474124828364,0.20709672467999432,0.09029008021102682
10,0.1935,0.05,0.001,0.0015,1.018226888991956,0.041584533166154465,0.030059343070682015
11,0.5035,0.396,0.1515,0.076,0.11776736389606551,0.6670088960355645,0.4254758809048681
12,0.1195,0.0085,0.0,0.0,1.7369377809413202,0.017404619605686716,0.010569256428786804
13,0.2035,0.08,0.001,0.0015,0.606633683494865,0.05136031624201833,0.03588401242382567
14,0.198,0.4045,0.0,0.0,3.3503435418142824,0.032118668220570794,0.05091999322937533
15,0.246,0.5185,0.005,0.0055,1.2759922553067815,0.21239060967924667,0.2821531461495247
16,0.226,0.0205,0.0,0.0,1.19788480760383,0.03498095818922613,0.01433252144064975
17,0.3295,0.285,0.0145,0.017,0.29389870527496137,0.15253778864867348,0.16715437203498842
18,0.1955,0.022,0.0,0.0,1.75983899500938,0.02699445368693539,0.0122180059631739
19,0.1705,0.063,0.0,0.0,0.5769689081026927,0.02983307393370888,0.022483736039241968
20,0.9905,0.002,0.0905,0.0005,0.9389210066910026,0.6057310240919509,0.04716600929460764
21,0.1625,0.014,0.0,0.0,1.8423750394308893,0.01950329796679009,0.010940386396103922
22,0.1545,0.0105,0.0,0.0,1.6627301715294807,0.02278268462251636,0.011039691295668758
23,0.159,0.0095,0.0,0.0,1.7122292784621729,0.021408138514993954,0.010954682216984878
24,0.1505,0.027,0.0,0.0,0.6845743074354694,0.02458515462655174,0.014764278944946148
25,0.3625,0.2855,0.063,0.048,0.2850312122567703,0.3442271559576994,0.29120266132560596
26,0.37,0.2965,0.1625,0.165,0.3648611735256095,0.9036912008539736,0.844403178922648
27,0.1445,0.023,0.0,0.0,1.3640710078535097,0.0213237298799759,0.012494357169384285
28,0.196,0.0165,0.0,0.0,1.8658017983771509,0.022436844183106597,0.011796010145970556
29,0.245,0.1225,0.005,0.01,0.5854344318711264,0.08788277385346645,0.07818554712744022
30,0.156,0.0225,0.0,0.0,0.7165499659910617,0.0223370068440223,0.013326918167762365
31,0.245,0.0295,0.0,0.0,0.9738971550151727,0.04062379334786294,0.014284988481453865
32,0.971,0.005,0.027,0.0005,1.0674643239385542,0.3746216776119417,0.03775655693687794
33,0.317,0.034,0.0005,0.0,1.1785801597278667,0.06099731268592484,0.020667272361373282
34,0.6065,0.0165,0.0,0.0,2.114087692435586,0.06415984109605248,0.012797911394746292
35,0.9625,0.0155,0.023,0.0005,0.9230443912696809,0.3970675343497466,0.04705081434952787
36,0.1245,0.0105,0.0,0.0,1.621309566111658,0.020503385585575143,0.011094155522555146
37,0.734,0.047,0.0235,0.0025,0.8683250108215594,0.2658254733346871,0.06701714542773814
38,0.18,0.0215,0.0,0.0,1.5431408757615221,0.027985786377761553,0.01274659755382071
39,0.223,0.1035,0.015,0.017,0.7800384021771908,0.10580451454227063,0.10876684568673298
40,0.1845,0.0095,0.0,0.0,1.4922266435578524,0.027879181582597994,0.011218995797799388
41,0.991,0.0025,0.165,0.0,1.16923467725301,0.889117220348296,0.050624364591510804
42,0.157,0.0285,0.0,0.0,0.7633317110552061,0.024844518370494804,0.01496465326913532
43,0.3755,0.3015,0.0415,0.04,0.32926676937111526,0.2841726693172606,0.25217045930229565
44,0.763,0.0775,0.0345,0.0025,0.6730137533939016,0.35552049999640817,0.0917083246892182
45,0.185,0.015,0.0,0.0,1.6659022471322962,0.026764332941859093,0.011738353052019933
46,0.432,0.407,0.163,0.1595,0.10799351559326059,0.7591832476908952,0.81659704312349
47,0.1945,0.016,0.0,0.0,1.3371737650268751,0.028947354468309056,0.012141290004670824
48,0.664,0.0895,0.0345,0.004,0.43879994860735533,0.3279530274889294,0.09851747427531958
49,0.991,0.002,0.023,0.0,1.3066181830093426,0.3996067918743629,0.03147059859805359
50,0.222,0.0575,0.002,0.001,0.8872740935917374,0.052191284946506225,0.029502896323605067
51,0.2075,0.11,0.001,0.0015,0.5432918941805837,0.04963288284565763,0.04228795695452639
52,0.1315,0.036,0.0,0.0,0.6559824162285702,0.021663745974839884,0.014954516485125465
53,0.7115,0.055,0.0595,0.0095,1.082684573108715,0.35886735026537064,0.08898538420750862
54,0.343,0.0815,0.0,0.0,2.4133788655883808,0.031819601584224644,0.01833252395259681
55,0.9885,0.001,0.0005,0.0,1.364491520307712,0.2478932126119447,0.01738105707918378
56,0.996,0.0015,0.0055,0.0,1.5061494132737068,0.3043740695803951,0.021007145389310474
57,0.167,0.041,0.0005,0.0,0.6681673292609537,0.030835182914245,0.0196661870919962
58,0.624,0.0125,0.0,0.0,2.101762584222092,0.0668279430350227,0.012838985085702036
59,0.181,0.0165,0.0,0.0,1.370395799273154,0.028780695021019074,0.012503066637779702
60,0.206,0.0265,0.0005,0.0,0.977335288530026,0.03364433531505635,0.016347812544033547
61,0.991,0.002,0.016,0.0,1.2750190225967288,0.39729884905342083,0.032818601279897136
62,0.675,0.0195,0.001,0.0,1.7000999024711014,0.10698720072238346,0.017933565428410646
63,0.1285,0.007,0.0,0.0,1.3652277802303625,0.01873255338449207,0.01080433595269007
64,0.9505,0.009,0.0075,0.0,0.9245150210608123,0.3095407879039674,0.035959226070426044
65,0.834,0.07,0.181,0.0105,0.5863767655213606,0.8427507569170161,0.14001334152349318
66,0.4245,0.428,0.24,0.2445,0.10025280355545119,1.2268883114407247,1.328925468892009
67,0.173,0.023,0.0,0.0,1.3167311995787065,0.02684679397046431,0.01364272168551703
68,0.597,0.198,0.021,0.02,0.7591640642515074,0.31342324481780875,0.22091445530733997
69,0.3785,0.308,0.1745,0.1675,0.3610728125268435,0.9221723394999832,0.911593019364541
70,0.988,0.0035,0.055,0.0005,1.0209220603270681,0.4808599672882849,0.04055313517697912
71,0.4515,0.3915,0.16,0.143,0.15634803649084122,0.7571433981155984,0.7135214987358055
72,0.947,0.016,0.493,0.091,0.5381157680887657,3.0489104039032258,0.4713943218917817
73,0.977,0.008,0.008,0.0,1.7446362319025495,0.2882422553179117,0.02896710485441735
74,0.148,0.009,0.0,0.0,1.4092303085790299,0.02164186527252747,0.011016274897380735
75,0.313,0.223,0.0635,0.0615,0.4558167021897973,0.34861118437058625,0.33503606247032214
76,0.1665,0.008,0.0,0.0,1.5521876608152532,0.025056156113728415,0.011481336529437424
77,0.2675,0.111,0.024,0.0175,0.7666269947821817,0.17315479505411255,0.11865014367098156
78,0.114,0.007,0.0,0.0,1.6397773569673002,0.01766182400771288,0.01067188388627638
79,0.153,0.0145,0.0,0.0,1.4734130271690875,0.022886532462313463,0.01202108308223757
80,0.979,0.002,0.0005,0.0,1.9930972652316397,0.1649882248899875,0.015096913022434794
81,0.245,0.0625,0.001,0.0005,0.7482339090181688,0.05331056204539182,0.02918488350567445
82,0.231,0.1365,0.004,0.005,0.49563299819299844,0.07258329905266055,0.0672741350982082
83,0.209,0.115,0.002,0.0025,0.5408112720792785,0.05603306680526613,0.0465402034982506
84,0.162,0.026,0.0,0.0,1.0376287968438744,0.023465412445308222,0.013479806743442128
85,0.972,0.0045,0.01,0.001,1.0749514399602578,0.3226536406199529,0.03326842353224965
86,0.1305,0.0095,0.0,0.0,1.6925745063789748,0.01921267974165306,0.010664272095106935
87,0.7765,0.0655,0.0015,0.0,0.993043950447779,0.22161761186709553,0.05732564340427323
88,0.219,0.024,0.0,0.0,1.104946660174259,0.03555651895717595,0.015309587923060712
89,0.9995,0.0,0.171,0.0,0.9467980967840145,0.8193948068844762,0.04292790163511352
90,0.1995,0.0155,0.0,0.0,1.851087278752768,0.024235056588671283,0.011274563300987467
91,0.193,0.0085,0.0,0.0,1.6656166732481699,0.02897424806483691,0.011352482840023902
92,0.101,0.0055,0.0,0.0,1.58924872308164,0.016663355733001275,0.01059499932305077
93,0.71,0.015,0.0,0.0,1.1821181212760623,0.13856127995775241,0.018827348437753064
94,0.1835,0.3985,0.003,0.036,0.589787560662718,0.10682881240868919,0.2558443215906379
95,0.4285,0.415,0.2445,0.2545,0.0910585596183733,1.2540498919250886,1.3369446192523486
96,0.258,0.066,0.0025,0.0015,0.7145662799826661,0.06565311397414614,0.037721751530518995
97,0.211,0.0275,0.0,0.0005,1.0050743384622953,0.03320525383937767,0.017243219372232436
98,0.1505,0.0095,0.0,0.0,1.7161057950582295,0.021286766925889367,0.010896580699236304
99,0.6005,0.016,0.0,0.0,2.3631332427773866,0.05678037959088768,0.013099768590007246
100,0.1425,0.014,0.0,0.0,1.5131327785888236,0.022340963962859887,0.011237334419478466
101,0.933,0.005,0.0,0.0,1.678351694822271,0.17805282337247708,0.01609795422556893
102,1.0,0.0,0.217,0.0,1.4946280858039838,0.9954368777967965,0.03828238062951468
103,0.6005,0.0065,0.0,0.0,1.7130572239637385,0.08157657899073767,0.012402625147126875
104,0.2205,0.0285,0.0,0.0,1.0667524265675732,0.035139362624664924,0.014177559066430763
105,0.422,0.004,0.0,0.0,1.5584655046063467,0.0535654016129762,0.011369342062094199
106,0.1985,0.0415,0.0,0.0005,0.8236799419498539,0.03282192047930887,0.01804561982777797
107,0.6255,0.0705,0.028,0.0035,0.4857188057133512,0.2629634252213869,0.08768520902640684
108,0.381,0.29,0.168,0.163,0.37415341861247925,0.8796951546307645,0.8282924124417733
109,0.947,0.019,0.0085,0.0,1.5395000014984253,0.3156576122428113,0.05460604171089232
110,0.8395,0.041,0.0015,0.0,1.9481308894594074,0.25180584015425206,0.07793488138710415
111,0.2445,0.0675,0.0025,0.003,0.6870254364816922,0.06706225674508157,0.0422766967111312
112,0.645,0.0095,0.0,0.0,1.484748618632216,0.11114235048915377,0.015143372312815713
113,0.1635,0.4795,0.0,0.0,4.717117406202962,0.14042801589726103,0.1835935816893954
114,0.7775,0.0645,0.0125,0.001,0.7878520295828675,0.2776567925841412,0.0683754832816321
115,0.135,0.0075,0.0,0.0,1.6126586655067239,0.021334388045574894,0.01113419423770007
116,0.263,0.543,0.0745,0.079,0.9265284540453692,0.4862047868299754,0.5932222380337697
117,0.953,0.0095,0.0225,0.0005,0.8427240991954535,0.3849882905953012,0.04762406455744989
118,0.993,0.0015,0.0125,0.0,1.3146363178241218,0.3279280235610732,0.022297770568141785
119,0.159,0.012,0.0,0.0,1.5245332842130832,0.02548136850491235,0.011424289626640568
120,0.8995,0.019,0.0,0.0,3.0953294857520834,0.14143846892680095,0.026650547403094835
121,0.1325,0.012,0.0,0.0,1.586832748228747,0.020656796916814674,0.011171867543007023
122,0.344,0.2645,0.02,0.0155,0.3272492524221053,0.17864895188840046,0.1516189746322347
123,0.1505,0.02,0.0,0.0,1.3208769421592381,0.02257492937218278,0.011942848810263688
124,0.1565,0.0215,0.0,0.0,1.8137420247626015,0.020379498894679986,0.011903676466207052
125,0.253,0.0475,0.0015,0.0005,0.7515148281508307,0.054210614433423454,0.02451185767149861
126,0.1905,0.0135,0.0,0.0,1.7495249987091337,0.024911138931193885,0.011685387863883222
127,0.239,0.0255,0.0,0.0,1.2007319865385504,0.0413795564872594,0.015583118237101736
128,0.194,0.035,0.0,0.0,0.8261465318310991,0.034276847047266246,0.017493528485161013
129,0.147,0.061,0.0005,0.001,0.588435858767041,0.028312659972361317,0.022004572568861465
130,0.3705,0.297,0.1725,0.167,0.3629000580709518,0.9217666069906655,0.8492380568358517
131,0.238,0.0595,0.0015,0.001,0.7344814526675094,0.05984370893315887,0.03185782369124617
132,0.0645,0.8285,0.0445,0.411,0.4069954221702644,0.3127497807792644,1.9336140474925434
133,0.362,0.316,0.159,0.1635,0.2605224723860286,0.8433307224686315,0.8433231416413289
134,0.174,0.036,0.0,0.0005,0.9558705312597485,0.03149264033463505,0.018893380701578585
135,0.701,0.0175,0.0005,0.0,0.9000585052877499,0.1539659573524932,0.025745372085876173
136,0.364,0.2845,0.162,0.148,0.3820139167717967,0.8277980777602707,0.7553467831790065
137,0.451,0.358,0.095,0.0765,0.21814522193604677,0.4848206797824008,0.42257778159852066
138,0.18,0.0665,0.0005,0.0005,0.5921641153009718,0.03675135300073743,0.028960456170752467
139,0.1225,0.0055,0.0,0.0,1.5967954103797135,0.019382055483871487,0.010635482461993648
140,0.182,0.0125,0.0,0.0,1.609895080528685,0.028114685891158318,0.01168583228768118
141,0.1335,0.5045,0.0,0.0,2.783174575810243,0.028931645670088803,0.07136734848779513
142,0.156,0.058,0.0,0.0,0.6339788110859587,0.028399344987929558,0.021128057935899742
143,0.2855,0.04,0.0,0.0,2.4490251142251056,0.023369295476964758,0.012545044887314793
144,0.219,0.024,0.0,0.0,1.1270705360660749,0.036823251814821364,0.014785601464441408
145,0.184,0.0865,0.0025,0.0055,0.6365509806799775,0.04693053921168213,0.050292969305883305
146,0.181,0.0485,0.0,0.0005,0.7781486077006465,0.037451429579296404,0.02362669386365563
147,0.159,0.035,0.0,0.0,1.4374731914137973,0.025587007935801452,0.014359373795568772
148,0.2295,0.0225,0.0,0.0,1.1269327122470691,0.03618773065922045,0.014276379317290118
149,0.1605,0.02,0.0,0.0,0.9760182023358668,0.022126412229258943,0.0126664531340855
150,0.4255,0.401,0.0125,0.0105,0.6467515772656873,0.2062889813431347,0.19743694871819686
151,0.1655,0.0065,0.0,0.0,1.715994801607236,0.023473390468131804,0.010694580041691026
152,0.6045,0.011,0.0,0.0,1.9832238015109072,0.0707273971293008,0.01451341336227446
153,0.9055,0.035,0.033,0.0005,0.7693534850745268,0.4503363274561749,0.08556987925371737
154,0.37,0.295,0.1655,0.1565,0.40170149941725813,0.8331702577560032,0.843842433791617
155,0.969,0.0045,0.006,0.0,1.3050971559245985,0.29289327586496017,0.025053543324818142
156,0.2195,0.067,0.0045,0.0015,0.8396604509573286,0.06266534194249677,0.032851633222047975
157,0.2295,0.0835,0.004,0.003,0.6277434330398645,0.06426635033901186,0.045951639049676946
158,0.989,0.005,0.8955,0.053,0.35723674550950746,4.432801471074587,0.34563966836782545
159,0.6375,0.0325,0.0055,0.001,1.0154512471279187,0.15108931083780197,0.034083121258336305
160,0.9165,0.0245,0.017,0.0005,1.0217875872879496,0.4123692255087661,0.06743215661920376
161,0.298,0.038,0.0,0.0,2.2520295377983417,0.028088730542466932,0.013397959107777174
162,0.568,0.0155,0.0,0.0,1.8846452286197852,0.0708571466519962,0.014268937441888705
163,0.201,0.037,0.0,0.0005,0.8162052984969171,0.03522555856729178,0.02059033234639735
