difFUBAR_Codon Sites,difFUBAR_P(ω1 > ω2),difFUBAR_P(ω2 > ω1),difFUBAR_P(ω1 > 1),difFUBAR_P(ω2 > 1),difFUBAR_mean(α),difFUBAR_mean(ω1),difFUBAR_mean(ω2),difFUBAR_P(ω1 ≠ ω2),difFUBAR_id,difFUBAR_actual_difference,difFUBAR_actual_effect_difference,difFUBAR_actual_directional_effect_difference,difFUBAR_Concatenated_ID,contrastFEL_P-value (overall),contrastFEL_Permutation p-value,contrastFEL_Q-value (overall),contrastFEL_Total branch length,contrastFEL_alpha,contrastFEL_beta (TEST),contrastFEL_beta (background),contrastFEL_subs (TEST),contrastFEL_Codon_site,contrastFEL_id,contrastFEL_actual_difference,contrastFEL_actual_effect_difference,contrastFEL_actual_directional_effect_difference,contrastFEL_1-Pvalue
68,0.0035,0.9075,0.0,0.3485,2.576828102782934,0.01145691454196742,1.8918305704442553,0.9075,sim.3.rep.2,false,0.0,0.0,sim.3.rep.2_codon.site.68,0.9993412741996349,-1,1,11.50146098620643,3.128042412356394,1,0,0,68,sim.3.rep.2,false,0.0,0.0,0.0006587258003650787
113,0.0065,0.901,0.0,0.3485,3.033212096451193,0.012437024920278825,1.8816918955386694,0.901,sim.3.rep.2,false,0.0,0.0,sim.3.rep.2_codon.site.113,1,-1,1,12.10327399972962,3.291716977949947,1,0,0,113,sim.3.rep.2,false,0.0,0.0,0
131,0.0015,0.9035,0.0,0.329,2.8658082976700108,0.011008624192349267,1.7370058723620059,0.9035,sim.3.rep.2,false,0.0,0.0,sim.3.rep.2_codon.site.131,1,-1,1,12.66187223551253,3.443638457759508,1,0,0,131,sim.3.rep.2,false,0.0,0.0,0
215,0.0715,0.904,0.0225,0.8545,0.7508934645579713,0.5436336888887118,6.403308609336696,0.904,sim.3.rep.2,true,0.24,-0.24,sim.3.rep.2_codon.site.215,1,-1,1,6.502120169209033,0.6128227575813917,1,0.4450073499173398,0,215,sim.3.rep.2,true,0.24,-0.24,0
297,0.003,0.901,0.0,0.3425,4.750053290518084,0.010861915218916645,1.7933501691323936,0.901,sim.3.rep.2,false,0.0,0.0,sim.3.rep.2_codon.site.297,0.9984761386327446,-1,1,19.12464174217336,5.201312299575194,1,0,0,297,sim.3.rep.2,false,0.0,0.0,0.0015238613672553525
396,0.014,0.9005,0.0,0.354,1.6055834066442054,0.01663862912450154,1.9548049474398304,0.9005,sim.3.rep.2,false,0.0,0.0,sim.3.rep.2_codon.site.396,0.9981628389386857,-1,1,6.490575065972202,1.765236095770168,1,0,0,396,sim.3.rep.2,false,0.0,0.0,0.001837161061314263
30,0.008,0.9095,0.0,0.373,1.7916194175571385,0.013848122002340129,2.0115475291405565,0.9095,sim.3.rep.3,true,0.33,-0.33,sim.3.rep.3_codon.site.30,1,-1,1,7.061321891141406,1.945067448545177,0,0,0,30,sim.3.rep.3,true,0.33,-0.33,0
68,0.0065,0.9105,0.0,0.332,2.142978817990742,0.012943102054708111,1.7878580490660527,0.9105,sim.3.rep.3,false,0.0,0.0,sim.3.rep.3_codon.site.68,1,-1,1,7.902307273534319,2.176720008393339,0,0,0,68,sim.3.rep.3,false,0.0,0.0,0
86,0.0115,0.904,0.0,0.3675,1.7986227370378027,0.014904081968066321,2.042080330273437,0.904,sim.3.rep.3,false,0.0,0.0,sim.3.rep.3_codon.site.86,0.9999796608983353,-1,1,7.610642782210322,2.096379936560261,0,0,0,86,sim.3.rep.3,false,0.0,0.0,2.0339101664657022e-5
297,0.0045,0.9005,0.0,0.35,2.827670747971637,0.01226789561050698,1.8716882713269474,0.9005,sim.3.rep.3,false,0.0,0.0,sim.3.rep.3_codon.site.297,0.9988656618129779,-1,1,9.305600395725302,2.563262332170596,0,0,0,297,sim.3.rep.3,false,0.0,0.0,0.0011343381870221325
57,0.003,0.911,0.0,0.347,3.2099502697282607,0.0111665433339515,1.7844848718518476,0.911,sim.3.rep.4,false,0.0,0.0,sim.3.rep.4_codon.site.57,1,-1,1,12.68280271451334,3.443052297174387,0,0,0,57,sim.3.rep.4,false,0.0,0.0,0
154,0.0025,0.9025,0.0,0.3425,3.158271804422166,0.011170625048611642,1.8965401731559646,0.9025,sim.3.rep.4,false,0.0,0.0,sim.3.rep.4_codon.site.154,0.9974555336752403,-1,1,14.29193125976581,3.879889001086879,0,0,0,154,sim.3.rep.4,false,0.0,0.0,0.0025444663247596866
210,0.0085,0.901,0.0,0.3425,2.2156646535774196,0.013005522192330232,1.7823020218928458,0.901,sim.3.rep.4,false,0.0,0.0,sim.3.rep.4_codon.site.210,0.9954442963290171,-1,1,9.161623554395732,2.487143396838654,0,0,0,210,sim.3.rep.4,false,0.0,0.0,0.004555703670982902
232,0.006,0.9045,0.0,0.3275,4.052499403335198,0.011298995400365186,1.6949755592288143,0.9045,sim.3.rep.4,false,0.0,0.0,sim.3.rep.4_codon.site.232,1,-1,1,19.70403159424181,5.349134002259389,0,0,0,232,sim.3.rep.4,false,0.0,0.0,0
383,0.001,0.9065,0.0,0.325,3.670543861061459,0.0110014957388398,1.7351430700520258,0.9065,sim.3.rep.4,false,0.0,0.0,sim.3.rep.4_codon.site.383,0.9995850082953954,-1,1,13.7627890339519,3.736240598038258,0,0,0,383,sim.3.rep.4,false,0.0,0.0,0.0004149917046045726
87,0.0055,0.912,0.0,0.366,1.8826053417511144,0.015091066561857264,2.0508608644439437,0.912,sim.3.rep.5,false,0.0,0.0,sim.3.rep.5_codon.site.87,1,-1,1,6.711262000999706,1.878924463008437,0,0,0,87,sim.3.rep.5,false,0.0,0.0,0
114,0.005,0.9045,0.0,0.352,3.3506908385715097,0.011805348353869894,1.8566875008829389,0.9045,sim.3.rep.5,false,0.0,0.0,sim.3.rep.5_codon.site.114,0.9963935212435249,-1,1,16.96684996422869,4.750139311091471,0,0,0,114,sim.3.rep.5,false,0.0,0.0,0.003606478756475129
61,0.999,0.0,0.72,0.002,8.245939004879487,2.560593373192713,0.1406709233702774,0.999,sim.5.rep.1,true,2.17,2.17,sim.5.rep.1_codon.site.61,1,-1,1,9193.173079539729,5.413990042277427,3541.646997210468,24.47570834565058,25,61,sim.5.rep.1,true,2.17,2.17,0
301,0.993,0.002,0.9365,0.0115,9.441092793531697,3.4266736201228833,0.20269334050824722,0.993,sim.5.rep.3,true,1.73,1.73,sim.5.rep.3_codon.site.301,1,-1,1,25211.38764596955,2.213640427400063,9998.089737089962,18.29543198677802,29,301,sim.5.rep.3,true,1.73,1.73,0
301,0.964,0.02,0.9765,0.0675,8.314709116325417,5.643629412879286,0.500343118152867,0.964,sim.5.rep.4,true,1.73,1.73,sim.5.rep.4_codon.site.301,1,-1,1,26593.26135674084,0.59125627822631,9904.806297761266,17.74983570941523,28,301,sim.5.rep.4,true,1.73,1.73,0
222,0.0045,0.975,0.0,0.6345,11.05972939775468,0.40767536244739766,1.6358857316879698,0.975,sim.6.rep.4,false,0.0,0.0,sim.6.rep.4_codon.site.222,1,-1,1,186094.5830349065,0,20.23317753059757,9999.999968350654,36,222,sim.6.rep.4,false,0.0,0.0,0
145,1.0,0.0,0.9915,0.0,10.51563831893518,4.409944127715419,0.020616954525003464,1.0,sim.9.rep.3,true,0.89,0.89,sim.9.rep.3_codon.site.145,1,-1,1,3048.058838532435,0,2058.080802393427,16.46986671260172,28,145,sim.9.rep.3,true,0.89,0.89,0
283,0.964,0.0185,0.998,0.1305,10.411371137326924,7.647822173239277,0.9923116016028761,0.964,sim.9.rep.5,false,0.0,0.0,sim.9.rep.5_codon.site.283,1,-1,1,15396.08625185497,0,9964.599315250842,174.2310115098908,22,283,sim.9.rep.5,false,0.0,0.0,0
12,0.9085,0.045,0.591,0.0885,0.3086681460844217,2.7980599752891737,0.4803974647004335,0.9085,sim.12.rep.3,false,0.0,0.0,sim.12.rep.3_codon.site.12,0.985567931318936,-1,1,1.131423041447004,0.3619269113721659,0,0.3237600110921038,0,12,sim.12.rep.3,false,0.0,0.0,0.014432068681063948
39,0.9315,0.0215,0.2645,0.007,1.0557251629947222,1.0979644127390595,0.17098437871989366,0.9315,sim.12.rep.3,false,0.0,0.0,sim.12.rep.3_codon.site.39,0.9807457113260479,-1,1,2.671443890945184,1.384575581349545,0,0.5721683360158664,1,39,sim.12.rep.3,false,0.0,0.0,0.01925428867395207
45,0.945,0.019,0.6025,0.0445,0.4769876245113715,2.4423882776230617,0.3046064159939147,0.945,sim.12.rep.3,false,0.0,0.0,sim.12.rep.3_codon.site.45,0.9823984807470368,-1,1,1.723583690778157,0.6365050062050451,0,0.4623173960912921,0,45,sim.12.rep.3,false,0.0,0.0,0.01760151925296316
49,0.901,0.049,0.626,0.0925,0.25869947923905706,3.0205221941619627,0.5164962790511645,0.901,sim.12.rep.3,false,0.0,0.0,sim.12.rep.3_codon.site.49,0.9857904190116928,-1,1,0.9846583935224402,0.3113408725383707,0,0.2830826334327274,0,49,sim.12.rep.3,false,0.0,0.0,0.014209580988307158
51,0.909,0.0335,0.234,0.0085,1.1238214973719565,1.0546507694235363,0.16633017591133606,0.909,sim.12.rep.3,false,0.0,0.0,sim.12.rep.3_codon.site.51,0.9830573671014577,-1,1,2.825399482074201,2.044917107556194,0,0.3945381257908757,2,51,sim.12.rep.3,false,0.0,0.0,0.016942632898542254
218,0.9835,0.001,0.704,0.021,0.7909095885343949,2.8230771800550083,0.21591878219176597,0.9835,sim.12.rep.3,false,0.0,0.0,sim.12.rep.3_codon.site.218,0.9758680483395172,-1,1,3.409644434818371,1.222153142226411,0,0.9279924013580599,1,218,sim.12.rep.3,false,0.0,0.0,0.024131951660482764
