Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.0165,0.932,0.007,0.167,0.5006947065105701,0.10643393399974574,0.7222444866780704
2,0.013,0.171,0.0,0.0,1.5682059952124243,0.013414354266908615,0.02483481015453134
3,0.644,0.0845,0.004,0.001,2.479964195608946,0.3143029653730754,0.1875399084243562
4,0.689,0.0795,0.002,0.0005,1.8904807830655077,0.30690954672099396,0.1643514302106189
5,0.038,0.098,0.0,0.0,1.498732014925864,0.013491031311549669,0.01659872642566381
6,0.109,0.331,0.0,0.0,0.9808622045234959,0.027588258090697024,0.04140446401450496
7,0.071,0.0725,0.002,0.0025,0.6751269512740548,0.04079758357843158,0.03877672088459336
8,0.0555,0.0575,0.0035,0.0,0.6638323507328394,0.04094297291414347,0.02372638572729576
9,0.1435,0.5705,0.0,0.0,1.9565551738394582,0.05894881369771944,0.09706505268665211
10,0.038,0.045,0.0005,0.001,0.9664268385861514,0.02055274017012065,0.022183094244375107
11,0.117,0.8075,0.0425,0.324,0.11909136593989025,0.2989085525551367,1.2371880501494785
12,0.003,0.0105,0.0,0.0,2.0294913466764273,0.010146708973432617,0.01046254725663708
13,0.044,0.0485,0.0,0.0005,0.6606363535881017,0.020021026997956853,0.021744662349781185
14,0.042,0.7885,0.0,0.0,2.7677089593379836,0.041010944626699276,0.11389578010741662
15,0.8325,0.0405,0.002,0.0,1.3219200270385876,0.1846774410491754,0.04295462758055199
16,0.0205,0.0255,0.0,0.0,1.069020453263995,0.012286601554630936,0.012240555990373632
17,0.28,0.2435,0.0125,0.009,0.31588435128025305,0.12707974618928733,0.1116862287091137
18,0.004,0.01,0.0,0.0,1.8359628883929127,0.010393274484580916,0.01067651723908737
19,0.0505,0.05,0.0,0.0,0.5953072258194299,0.01823029822312916,0.018412340911418208
20,0.148,0.2745,0.0005,0.0005,0.9279205469436034,0.041041354742301826,0.04698420033261471
21,0.0055,0.0115,0.0,0.0,2.004613521130498,0.010422823274429605,0.010590917608390624
22,0.005,0.011,0.0,0.0,1.5994443908840683,0.010613101039516449,0.010826756289029292
23,0.0055,0.0095,0.0,0.0,2.0754026834936288,0.010267950871676694,0.010455142984052194
24,0.023,0.0215,0.0,0.0,0.7825181263675862,0.012700787589313457,0.011779387829113653
