sim,codon_sites
5,"Any[[61], [301], [301]]"
56,"Any[[28, 120, 705], [5, 279, 497, 645, 705]]"
484,"Any[[126, 256], [172], [253, 278, 634], [498, 652], [53, 226, 499]]"
60,"Any[[60, 128, 135, 238, 404, 485], [185, 217, 238, 263, 499], [181, 315, 485], [135, 238, 263, 404, 439, 485, 497]]"
12,"Any[[12, 39, 45, 49, 51, 218, 272, 314, 415, 509, 580, 594, 618], [303]]"
255,"Any[[110, 457], [397]]"
435,"Any[[372], [113]]"
83,"Any[[38, 87, 117, 190, 206, 370, 495, 504, 591, 658, 680, 727, 758], [31, 38, 87, 120, 139, 194, 206, 216, 288, 429, 457, 477, 591, 642, 658, 685, 723, 726, 758]]"
175,"Any[[345, 634], [1, 174, 634], [464, 634]]"
9,"Any[[145], [283]]"
82,"Any[[507], [647], [323], [131, 323, 613], [117]]"
338,"Any[[268, 415], [57, 220, 226, 408]]"
3,"Any[[68, 113, 131, 215, 297, 396], [30, 68, 86, 297], [57, 154, 210, 232, 383], [87, 114]]"
178,"Any[[569, 624], [341, 442, 506], [178, 244, 267, 317, 618, 685], [262, 346, 461, 469]]"
94,"Any[[362], [362], [729]]"
500,"Any[[51, 77, 89, 119, 126, 162, 228], [72, 77, 126, 179, 283, 293], [51, 126, 277, 465], [77, 117, 293, 352, 432, 559, 635]]"
339,"Any[[408, 468, 623, 741], [26, 43, 149, 468, 741], [331, 408, 616, 681, 737, 741], [149, 306, 374, 408, 526, 554, 623], [149, 306, 331, 347, 374, 398, 415, 668, 734, 741]]"
314,"Any[[201, 308, 428], [9]]"
347,"Any[[1, 3, 16, 46, 105, 147, 199, 229, 272, 280, 315, 327, 353, 367, 380, 383, 397, 474, 527, 532, 585, 591, 593, 627, 633, 636, 652, 655, 672, 712, 745], [1, 3, 16, 52, 129, 266, 282, 305, 315, 343, 358, 383, 486, 505, 516, 547, 614, 636, 672], [3, 67, 129, 147, 151, 199, 213, 272, 280, 282, 305, 315, 353, 397, 453, 459, 486, 540, 570, 593, 612, 672, 712, 745], [1, 3, 16, 17, 25, 213, 244, 272, 282, 305, 315, 353, 383, 415, 453, 486, 492, 516, 517, 547, 593, 636, 643, 672, 699, 712, 730]]"
34,"Any[[316], [476], [476]]"
208,"Any[[475], [535]]"
296,"Any[[27, 61, 360], [88, 207, 236, 287, 295, 304, 349, 392], [88, 604], [131, 432], [287, 392, 424]]"
26,"Any[[324], [324], [324]]"
163,"Any[[8, 10, 203, 353, 361, 504, 512], [33, 87, 145, 203, 260, 349], [8, 203, 272, 434, 450, 491, 504, 551], [143, 336, 399, 542], [180, 203, 225, 279, 336, 434, 461, 504, 526]]"
211,"Any[[107, 243, 431, 479, 480, 543], [44, 164, 210, 221, 326, 400, 464, 630], [596, 612], [103, 391, 665], [36, 178, 326, 744]]"
42,"Any[[135], [48, 58, 115, 345, 492], [135, 196, 230, 287, 394], [342]]"
343,"Any[[100, 153, 323, 385], [31, 100, 179, 205, 333], [65, 323, 333, 366]]"
358,"Any[[266, 294, 319], [13, 170, 325, 677]]"
440,"Any[[360], [13, 268], [440], [458]]"
458,"Any[[17, 699], [456]]"
