Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.3715,0.4925,0.1865,0.1655,0.972011798546078,1.0148176159121345,0.9160057002365005
2,0.563,0.335,0.334,0.1695,0.3332500292596049,1.9799347002412904,0.9375371102702198
3,0.4105,0.47,0.2315,0.1605,1.023727733574385,1.4071547234826065,0.9284430247026324
4,0.468,0.4345,0.483,0.3995,0.893236633090571,3.411666333639759,1.902421485533191
5,0.1225,0.777,0.14,0.398,0.9067069195570724,0.8276538601098513,1.9765028968486478
6,0.415,0.4755,0.2605,0.2595,1.6147704588959741,1.5891363733519692,1.5263932239269955
7,0.3145,0.5745,0.3085,0.3965,3.753943579525266,1.8470839913273487,2.406259773688741
8,0.2575,0.607,0.0925,0.0705,1.2051427280899087,0.5784938690599123,0.5784170819756234
9,0.2135,0.694,0.2065,0.345,0.5381547322309035,1.1657256474442157,1.891070738946453
10,0.17,0.7195,0.1365,0.256,0.9138933574797473,0.8482142830844219,1.2919596271082658
11,0.3235,0.517,0.07,0.0095,1.4689312703667279,0.43181789422161565,0.279726343595766
12,0.623,0.2575,0.2475,0.083,0.697266951292217,1.3843862102085733,0.4853689442260549
13,0.7085,0.2165,0.447,0.0945,1.5062257255280525,2.5039845286887195,0.6082972712448438
14,0.389,0.466,0.1225,0.015,0.9758951670728522,0.6330207479225882,0.3181415126384854
15,0.554,0.341,0.3485,0.1925,0.16028168300147655,1.9379959162698779,1.0090444669285294
16,0.3315,0.581,0.336,0.403,0.2213124412362531,1.8049560942582712,2.1738684011587255
17,0.2185,0.6095,0.0495,0.0055,1.4803806184279407,0.37030628887796774,0.3647441198900989
18,0.179,0.719,0.159,0.243,0.6934190395175724,0.843802636160661,1.222876983686051
19,0.2675,0.63,0.183,0.173,0.6484713690123889,0.9775259708970544,0.947306500307548
20,0.4105,0.4915,0.2695,0.229,0.5986266829423283,1.5632145479905333,1.2271913746681833
21,0.1835,0.7225,0.251,0.4905,0.5740388038139673,1.508529629279959,2.5291184710811576
