Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.341,0.405,0.137,0.169,0.7283507485909784,0.7433124057057544,0.8748147363868822
2,0.8255,0.0475,0.001,0.0,1.2166350674547526,0.22698819454039126,0.07250769875581217
3,0.1105,0.6695,0.0005,0.004,2.121675843234591,0.13618938025715296,0.26174024666563456
4,0.5865,0.1355,0.011,0.0005,1.6710550110292124,0.3817115599980694,0.2433323567642862
5,0.964,0.0015,0.001,0.0,1.528524744516139,0.1948246751529875,0.017703777383451132
6,0.989,0.0015,0.033,0.0,1.0774122302608693,0.5045714047591352,0.04077430175731963
7,0.207,0.1245,0.0055,0.007,0.5969585022628354,0.07445299498479639,0.0650731357414276
8,0.178,0.0655,0.0005,0.001,0.6775065246126507,0.04019131832087824,0.027721406683939482
9,0.456,0.249,0.001,0.0,2.320809841278518,0.2135835992333145,0.16779232236287245
10,0.2255,0.0395,0.0005,0.0005,1.047835004098373,0.03592242787100944,0.022419775770959494
11,0.0925,0.8495,0.139,0.584,0.11735208353465554,0.6172987988477066,2.372613396010113
12,0.256,0.01,0.0,0.0,1.8228157067380817,0.021596899500378835,0.010811740225274957
13,0.1845,0.0715,0.001,0.0005,0.6265937222049904,0.045232457319033297,0.02969476357762907
14,0.0315,0.8285,0.0,0.0,3.344464282885788,0.03680846132236859,0.12851525710357967
15,0.777,0.0845,0.005,0.0005,1.1276554240974486,0.22152935984646527,0.06085517774310628
16,0.245,0.0235,0.0005,0.0,1.1825431364875627,0.03289736637484309,0.014708237851586033
17,0.353,0.2635,0.02,0.012,0.2978799819505903,0.16021142514678433,0.12492631746398927
18,0.3645,0.0215,0.0,0.0,1.7799738338659907,0.032470333893604285,0.012110517995147877
19,0.1485,0.08,0.0,0.0,0.5848145883317173,0.02593695446707805,0.02405948503520687
20,0.9895,0.0025,0.079,0.0005,0.9263818616894759,0.6263776302082003,0.04766343444719824
21,0.2305,0.007,0.0,0.0,1.9767577589542689,0.021322361701435796,0.010734579842973923
22,0.335,0.0125,0.0,0.0,1.7073620723415521,0.027080658937362806,0.011479857129828646
23,0.2685,0.012,0.0,0.0,1.7717319136809246,0.022590961580004912,0.0110810018918379
24,0.1225,0.0315,0.0,0.0,0.7046544909148925,0.020945694328844553,0.014151922075474185
25,0.3575,0.288,0.0435,0.0345,0.2941700518606941,0.2826352230052214,0.23652003883471223
