Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.3995,0.48,0.215,0.2655,0.4026661000618341,1.0665477949090822,1.3738856113028728
2,0.8885,0.06,0.8705,0.252,0.35667305661523996,5.4330254681820636,1.2392353499449285
3,0.0055,0.9815,0.125,0.9745,0.5124168320898207,0.6175936475917361,7.319804691100312
4,0.6885,0.1965,0.171,0.066,1.6213046135453515,0.87659454211108,0.39932234172147923
5,0.1885,0.581,0.8145,0.9035,1.1582660063401988,3.631243359470907,5.214190136868728
6,0.4115,0.486,0.241,0.2795,0.501192433330165,1.2654175992903165,1.5462415901539464
7,0.4505,0.4595,0.29,0.3275,0.14608184648710174,1.5683626467132679,1.7538005647702497
8,0.649,0.1925,0.879,0.6265,0.5567972794714493,5.243011957287898,3.1497413671710843
9,0.097,0.842,0.108,0.579,0.6854827970222703,0.5763158702348004,2.942197810394327
10,0.093,0.851,0.189,0.7395,0.2736376905013803,0.94561955077601,4.5140106787757475
11,0.2805,0.5635,0.0295,0.088,3.571631066288298,0.3204783920171567,0.5398279097077382
12,0.331,0.527,0.571,0.681,0.42906255652512554,2.8852735988735527,3.746073572793243
13,0.0155,0.9625,0.1355,0.9195,0.4419322692307841,0.664278507869971,6.31416946983339
14,0.703,0.1845,0.114,0.0355,1.9612845884307628,0.617377677346013,0.271098419493323
15,0.923,0.0345,0.4255,0.038,1.6467811797417635,1.7541150384029045,0.2979845464488316
16,0.6695,0.205,0.0605,0.031,2.494429263181221,0.4460144433832491,0.24547133104156402
17,0.4005,0.488,0.263,0.332,0.16332339598057072,1.3789474489168758,1.8291466212488285
18,0.6875,0.1865,0.1155,0.036,2.5064793996180077,0.609171454821975,0.2705406404335987
19,0.3645,0.433,0.5385,0.5615,1.703111605486254,2.135861992368173,2.4438049307354994
