Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.985,0.0035,0.432,0.0055,0.5402988077937417,1.962525039945347,0.10725445292125434
2,0.9965,0.0,0.0075,0.0,1.394859790631988,0.3757513784153063,0.013446949795606625
3,0.2285,0.542,0.005,0.005,2.4727631878735608,0.24092945592138057,0.3171796950295317
4,0.8205,0.046,0.127,0.001,1.902627801201967,0.7722395228152625,0.2989540072609222
5,0.996,0.001,0.0085,0.0,1.4912078004243694,0.3759707794229645,0.013324880440136282
6,1.0,0.0,0.1655,0.0,1.0445577942694926,0.9570284281632381,0.02281347635181697
7,0.3465,0.0755,0.023,0.0015,0.5759859748089348,0.16173227559809403,0.04975274149835717
8,0.3425,0.0435,0.0115,0.002,0.6478559849048613,0.11070893648709734,0.031202663755866257
9,0.9575,0.007,0.014,0.0,2.0631688854064834,0.41911047262043716,0.05950880436750999
10,0.4265,0.035,0.0125,0.001,0.8137250440773114,0.11698229666320188,0.02918609412273338
11,0.576,0.3145,0.214,0.064,0.1035650642516766,0.9923986782513485,0.3589448280778258
12,0.618,0.004,0.0,0.0,1.7863872015193794,0.06396604686453694,0.010425870013278927
13,0.3175,0.042,0.009,0.0,0.6493688312000743,0.09761318461652516,0.02427271004618708
14,0.49,0.2085,0.0,0.0,2.748473011795738,0.0754523736102537,0.04036167324878301
15,0.673,0.165,0.031,0.0005,1.4952467298042216,0.40792372713977604,0.17070015938211666
16,0.546,0.018,0.0025,0.0,0.970614455553777,0.10690102636518158,0.014460187481371227
17,0.4785,0.199,0.058,0.0095,0.27506273878865467,0.3382957685958696,0.12479932754400964
18,0.673,0.0105,0.0,0.0,1.7161567919972354,0.08046573301635497,0.010977063639462077
19,0.2225,0.049,0.0035,0.0,0.5592104919334262,0.06081433174077843,0.022099378401582836
20,1.0,0.0,0.424,0.001,0.8546869563041276,1.7711365059514994,0.04433170138162236
21,0.6215,0.009,0.0,0.0,1.7231696419441,0.06792613903197525,0.010932982123519036
22,0.6675,0.007,0.0005,0.0,1.5197070187936648,0.08467278800834664,0.011593694755487835
23,0.6365,0.007,0.0,0.0,1.8429613044420599,0.06799412537742892,0.010954367484047435
24,0.3835,0.017,0.0005,0.0,0.7751462127323634,0.06472610334225858,0.013651325390223052
25,0.4945,0.218,0.133,0.0375,0.2738191506981039,0.6307262298502977,0.22897443014648372
26,0.472,0.273,0.209,0.144,0.289546322329275,1.1599440505425218,0.7487615070004091
27,0.5755,0.0115,0.0005,0.0,1.2375662535788736,0.073357303305749,0.012093993145155923
28,0.678,0.01,0.0,0.0,1.6656512637167071,0.08184730270030681,0.01145511029751348
29,0.2995,0.06,0.014,0.001,0.5701419803469778,0.12020556244303775,0.036411179192574326
30,0.458,0.013,0.0005,0.0,0.8618648105187203,0.07677625712411663,0.012333391288932731
31,0.496,0.015,0.001,0.0,0.8625229343213116,0.10091704136764267,0.01333640534124334
32,0.9965,0.0015,0.1255,0.0,1.0385680443184788,0.8671026268891762,0.025291107478511626
33,0.5465,0.0165,0.0005,0.0,0.9846113695116412,0.09153315837585728,0.01404895180946382
34,0.934,0.0005,0.0,0.0,1.8532357594161633,0.15305421708071587,0.01166070933205892
35,0.992,0.002,0.094,0.0,0.9419342094887314,0.7702877188271312,0.026851031930829234
36,0.6605,0.004,0.0,0.0,1.6486235309750208,0.07579875266033541,0.010642610915503115
