Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.3995,0.5105,0.2405,0.3235,1.136673130140173,1.2660810600070938,1.8092194845200331
2,0.721,0.204,0.7285,0.3345,1.1147626631143515,4.177671579370751,1.8274825236851542
3,0.5395,0.3755,0.4715,0.3425,1.193273672991315,2.5552806419992384,1.8503681267713759
4,0.386,0.524,0.2545,0.3715,0.5462452952019549,1.3542646426953975,2.0332442714608843
5,0.7525,0.167,0.814,0.3605,0.5418170912122969,5.0864139945265885,1.9559669989100703
6,0.3855,0.5255,0.268,0.386,0.3764154881451495,1.4267163032272803,2.0914375493972197
7,0.4225,0.495,0.335,0.3745,0.19544001375017586,1.8366321681685362,2.181874363104188
8,0.4075,0.506,0.2885,0.3695,0.5970560164672283,1.4994540381331292,2.0362320940609937
9,0.6845,0.238,0.6535,0.3215,1.6187543485761853,3.462410790584131,1.7042416741053028
10,0.365,0.54,0.225,0.334,1.126860251215497,1.117348136180389,1.804443983827924
11,0.4315,0.4775,0.3335,0.3785,0.19343898353310307,1.8552608330475118,2.23968332648952
12,0.431,0.484,0.3545,0.3905,0.1988384710380051,2.023352515117084,2.321713005408924
13,0.708,0.2125,0.5025,0.201,4.553476706890845,2.5930759324915664,0.9410701308030743
14,0.3765,0.5355,0.2425,0.3545,0.8598026758370224,1.165955649249345,1.9068725838701772
15,0.3265,0.553,0.0725,0.2045,3.2420413635028944,0.4008853405884168,1.0185365565255706
16,0.433,0.483,0.3525,0.394,0.23792019343519033,1.8645818506170282,2.2446080818096976
17,0.7155,0.2005,0.7005,0.3355,1.2974082074043949,3.8857800009603025,1.792343027287219
18,0.4305,0.4785,0.37,0.4095,0.16699050802798387,1.9633819242387176,2.2818228919695644
19,0.6985,0.205,0.54,0.24,2.2659828295100453,2.581177702939169,1.1778935381779752
20,0.3985,0.5215,0.2905,0.3925,0.606606718930232,1.5635117338118132,2.1532127277102413
21,0.344,0.5505,0.1535,0.2765,2.3243276731852114,0.8007217460942956,1.4261390649403098
22,0.3925,0.5075,0.2905,0.3815,0.6240580287471003,1.5128455053376633,2.1016169662701
23,0.3045,0.5755,0.057,0.181,4.072677264171579,0.3811875012402643,0.9033759385074981
24,0.5875,0.309,0.366,0.2525,4.025508329336986,1.6669995192513734,1.2561252698375809
25,0.4235,0.4925,0.343,0.405,0.24371432712126873,1.889691141640653,2.3013441604906926
26,0.4315,0.486,0.348,0.3855,0.22292645437519482,1.890641336029484,2.1810345381897474
27,0.737,0.195,0.7875,0.367,0.5512484028692733,4.746831697016697,2.039700219438944
28,0.4305,0.484,0.345,0.3915,0.24984319851808262,1.892448815074056,2.332873798633747
29,0.3095,0.562,0.081,0.214,4.098945399101959,0.44223607031746676,0.9955315487580163
30,0.423,0.4885,0.3275,0.3705,0.330687789558687,1.7936146781273683,2.110297402558007
31,0.3665,0.554,0.2375,0.3595,0.9232518472641915,1.1549629899616265,1.9365486346500227
32,0.722,0.204,0.516,0.2175,4.759630223674673,2.627873132615737,1.0754870074171203
33,0.3155,0.5755,0.088,0.242,2.50171765376806,0.47291336335469963,1.1910626996855322
34,0.3205,0.576,0.089,0.2385,2.342605805745689,0.46876340493246293,1.1781652060784715
35,0.0485,0.912,0.165,0.8695,1.0551395638171694,0.8272927792939093,6.0698491884648895
36,0.357,0.5425,0.2125,0.347,0.9795757496394263,1.0790515393787126,1.9230197911339573
37,0.3535,0.5605,0.2155,0.372,1.1258079857669316,1.0995273319915888,2.0929079365705574
38,0.392,0.503,0.285,0.3745,0.605831636203108,1.4941358526313655,2.100169447341628
39,0.43,0.4845,0.34,0.3975,0.2402645806237492,1.8605126398607912,2.2854022386019395
40,0.4125,0.504,0.3445,0.4105,0.2465846792784882,1.9498997125850495,2.3409533632297506
41,0.4365,0.4775,0.344,0.398,0.15466003524104252,1.8974371783909936,2.2468186845675517
42,0.0475,0.9135,0.1115,0.75,3.1366401941867217,0.5406975871927664,4.31332957770222
43,0.684,0.236,0.649,0.337,1.3709145747463232,3.401846362885511,1.776525558627993
44,0.4515,0.471,0.362,0.3725,0.16246916143908743,1.9768961107545184,2.227913754355666
45,0.699,0.213,0.742,0.3655,0.9017078046618444,4.28610782921843,2.021775374136529
46,0.354,0.518,0.094,0.164,4.938831266539166,0.5232779026648958,0.8265483063729152
47,0.359,0.5515,0.211,0.3315,1.6277348337234128,1.090894689766245,1.756354830329442
48,0.3165,0.5845,0.1005,0.254,2.2183222055610488,0.5606388849905833,1.247365805094323
49,0.337,0.556,0.143,0.3035,2.415976505685924,0.7267088743835393,1.4963257160107934
50,0.7215,0.2005,0.688,0.312,1.9086112598123286,3.794008646896656,1.6651900822661938
51,0.384,0.538,0.2755,0.393,0.6265337116577266,1.4234009670112133,2.2172474747647306
52,0.432,0.482,0.3385,0.3965,0.1883955673064056,1.8843007656160191,2.2266947065986153
53,0.6445,0.2885,0.6625,0.3555,1.4646782276104864,4.650197440856184,1.9891040687850383
54,0.334,0.5715,0.145,0.287,2.1514255679581895,0.734823871162287,1.4977736872956307
55,0.8445,0.0935,0.869,0.262,2.497058122138711,5.207705396253513,1.265576711373859
56,0.343,0.552,0.1375,0.3015,1.6051654749751934,0.7702824128212544,1.5362431650966062
57,0.412,0.503,0.291,0.3795,0.37953013239173916,1.5216780956337421,2.1004118700405483
58,0.3745,0.526,0.222,0.34,1.1458593573422193,1.174647768473219,1.7896624662826732
59,0.3085,0.5695,0.0655,0.2205,3.79251378318231,0.41276773594836313,1.034409430048174
60,0.378,0.5215,0.203,0.314,1.697434479518491,1.0997044574348458,1.7176931033972658
61,0.346,0.5565,0.1465,0.3125,2.314581303544435,0.7708236676188213,1.6342631616912882
62,0.41,0.501,0.2995,0.358,0.6688843904999862,1.5997137590658104,2.008794957343695
63,0.396,0.5065,0.196,0.2405,2.818479428978462,1.0414053228505384,1.199984147644094
64,0.433,0.4825,0.367,0.3985,0.1774005751617467,1.959618702261544,2.3345032236616405
65,0.442,0.4715,0.386,0.4045,0.2596342110791917,2.2274895086817414,2.2586732767424893
66,0.7005,0.214,0.608,0.3025,2.03982219434085,3.2902175870287085,1.5515372276199728
67,0.373,0.536,0.2375,0.351,0.5686468809161891,1.19125452755946,2.0206367860223238
68,0.38,0.5245,0.208,0.348,0.675727450789709,1.1002016345066639,1.8753189616056822
69,0.3385,0.5465,0.111,0.2445,2.475963387925307,0.5793118923639735,1.1770851192411431
70,0.383,0.535,0.214,0.3415,1.0316916938268663,1.0623981593573573,1.795141097548477
71,0.3855,0.517,0.263,0.3765,0.6863319607887286,1.3170150750402523,2.0606618738920135
72,0.415,0.4985,0.351,0.403,0.1587944697525474,1.9162251582878418,2.345218210470363
73,0.364,0.552,0.197,0.328,1.1106172188476255,0.942680437466299,1.8058858230782007
74,0.407,0.5105,0.297,0.367,0.6858518691501697,1.514724228447634,2.0406548846186445
