Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.8345,0.008,0.009,0.0005,2.2770450362687624,0.5801698580914878,0.28418031976383745
2,0.565,0.084,0.001,0.0,0.9682734264728532,0.26418158134107494,0.16725485414307403
3,0.091,0.493,0.0,0.0,0.7835409414371657,0.04800186567082405,0.11511820216571571
4,0.198,0.233,0.0005,0.0,0.7350952505518029,0.04466141593081904,0.049458833312962136
5,0.2985,0.158,0.0045,0.006,0.9821963627104449,0.4505019854705277,0.4165522697118821
6,0.33,0.1185,0.0265,0.018,2.112414314955201,0.6847774582581745,0.6104617165881434
7,0.0425,0.56,0.688,0.924,1.463281917931179,1.8226727069119577,2.5823712686275524
8,0.063,0.0825,0.0,0.0,1.0741565925205545,0.015054379206591395,0.01641523299452015
9,0.148,0.6055,0.068,0.182,0.46730673916627086,0.4787148064185299,0.8883509693902478
10,0.181,0.2265,0.002,0.0015,0.7168719126449344,0.05371554886313996,0.06675749703976633
11,0.0045,0.852,0.8475,0.9925,0.6576153760130283,2.4301025390222084,4.745695370965045
12,0.358,0.227,0.0,0.0,1.2612133875938976,0.10812919048261692,0.09698273160368412
13,0.212,0.339,0.0,0.0005,0.9343133572593315,0.08419759699509707,0.10348166244322352
14,0.4525,0.025,0.0785,0.0175,1.3647662726078824,0.8596331317998559,0.6712960403195699
15,0.279,0.4105,0.0005,0.005,0.6607401468787402,0.15657552823477544,0.19563059928376642
16,0.2875,0.248,0.004,0.0085,0.8115353569242708,0.3494501626813997,0.35063964609381676
17,0.2035,0.2465,0.004,0.0125,0.9419628879848251,0.4124610065508934,0.4383218880295382
18,0.045,0.711,0.0,0.001,0.9466505801426232,0.045847583664430605,0.14378471838552567
19,0.235,0.279,0.024,0.0345,0.751555669900475,0.5242096929748583,0.5541207406659778
20,0.7725,0.032,0.0005,0.0,0.9605302272153733,0.2629321434144931,0.09576101878510362
21,0.211,0.355,0.0,0.0,1.0388002050969973,0.10122051915156872,0.12293466578890153
22,0.2885,0.11,0.0,0.0,1.0199548722240055,0.053827056666512996,0.03933373509528989
23,0.336,0.237,0.0,0.0,1.100167498959576,0.1331032276645533,0.11922427035518818
24,0.482,0.0915,0.011,0.0025,0.9442882308805819,0.4541835476236811,0.34268632762069196
25,0.067,0.2365,0.0705,0.1355,1.2039641601679951,0.8820029143120937,0.9723155520898935
26,0.0925,0.1065,0.0,0.0,0.9492903480247722,0.023068781948398256,0.023367261234518044
27,0.08,0.4205,0.2265,0.375,0.7831690693866539,1.073607027005706,1.3800753008115514
28,0.127,0.4785,0.0005,0.001,0.9460171353795047,0.17282826148911967,0.23910568451152595
29,0.058,0.272,0.1825,0.3165,0.9883502662154422,1.0786721147979754,1.2386106542301758
30,0.271,0.453,0.0035,0.011,0.5794590707384399,0.1913197131305031,0.2508792183004677
31,0.114,0.3285,0.9855,0.9945,1.0083327772367887,3.6310681791577633,4.0655102200639375
32,0.066,0.097,0.0,0.0,1.008738106510138,0.01799272738044142,0.020997431058104046
33,0.355,0.1105,0.0,0.0,1.2816171204960618,0.05787148909598544,0.04026417905583621
34,0.7395,0.0285,0.001,0.0,0.9902824940677307,0.35183036053523514,0.16831690690059523
35,0.238,0.2745,0.001,0.005,0.9007887544086562,0.30454490239948967,0.32364519767177735
36,0.6575,0.085,0.021,0.0025,0.7443136819716815,0.4476900314320742,0.22552958416814642
37,0.2805,0.3365,0.0025,0.0015,0.4991470917416983,0.07931889152500488,0.08988482857787106
38,0.062,0.091,0.0,0.0,1.0322615521672645,0.015706019922503093,0.01785972367587689
39,0.3425,0.3895,0.003,0.003,0.4048170586354979,0.1085759810901134,0.11972757259425981
40,0.2955,0.1045,0.0,0.0,0.9512970553550413,0.05624019879431443,0.03920185845458017
41,0.1355,0.5015,0.004,0.026,0.8597690965315228,0.24836597516964162,0.37240384404847404
42,0.379,0.174,0.078,0.054,0.7441070783896218,0.670894659433636,0.5709178861884364
43,0.0815,0.428,0.3185,0.5345,1.8676565398608351,1.187630742921494,1.4293657004557836
44,0.3265,0.12,0.0,0.0,1.4425176864040308,0.044889957048166076,0.031787618134952816
45,0.018,0.838,0.0,0.0025,1.0270891782127023,0.06543214307542611,0.2548380852465359
46,0.034,0.6175,0.0,0.0105,1.291847324385933,0.34212512277787455,0.5389092059685336
47,0.0965,0.102,0.0,0.0,1.2465506714982388,0.018184050233246804,0.018959528252332727
48,0.4255,0.1555,0.005,0.003,0.8446947215881965,0.3713148510955477,0.2961399308410784
49,0.2735,0.241,0.0,0.0005,1.0602560488418828,0.22568434416839522,0.2222358186023833
50,0.073,0.0975,0.0,0.0,0.997906926067026,0.01897174400968432,0.02117438098867539
51,0.059,0.3335,0.018,0.0665,1.1933673668171816,0.7421679250198965,0.8703686322811788
52,0.2845,0.1065,0.0,0.0,0.9634158730679614,0.0546900555861187,0.040905462885774145
53,0.109,0.5385,0.0005,0.0015,0.99907827547437,0.10559497339780186,0.17580189005430416
54,0.7625,0.005,0.8285,0.333,1.1172254362333776,2.1453865013308495,1.15578425815417
55,0.208,0.341,0.0,0.0005,0.9417022024550892,0.21814434403588018,0.24580544909220448
56,0.0015,0.977,0.0135,0.623,0.7228185505968154,0.3833355694643025,1.7684111137329244
57,0.0945,0.124,0.0,0.0,0.9779631402599824,0.022548505369162218,0.025500901260528373
58,0.1925,0.266,0.0,0.0015,2.074407850391936,0.4524139847272004,0.47296958337102074
