Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.9545,0.0135,0.325,0.009,0.4643750870286922,1.4106645677068015,0.12041912939566046
2,0.05,0.0215,0.0,0.0,1.583884877506407,0.013902615031180827,0.012241383447599898
3,0.0065,0.961,0.0,0.0055,2.280845128363563,0.047576624558322574,0.3240362464265123
4,0.0245,0.8705,0.0,0.0025,1.8235217487311397,0.09099518094611121,0.30785064157583136
5,0.056,0.02,0.0,0.0,1.6008819779292818,0.014305000345680873,0.011770465243057965
6,0.3215,0.1225,0.0,0.0,0.9901235826309919,0.0449768724946128,0.03091443266958573
7,0.114,0.0605,0.0045,0.002,0.6538656984676323,0.050738879574607744,0.036487841761670296
8,0.0795,0.0585,0.0015,0.001,0.6622896589521435,0.03156060197705759,0.02879495651520863
9,0.6585,0.117,0.0,0.0,1.9624217641146398,0.13143006015998135,0.06140685156312228
10,0.054,0.037,0.004,0.0005,0.9042936151638492,0.03261163720207202,0.020436684138836005
11,0.8175,0.1075,0.365,0.05,0.11461216987032526,1.5052463763820716,0.3167838386676607
12,0.0095,0.0025,0.0,0.0,1.9254842619359065,0.01054303019686286,0.010256740703507081
13,0.064,0.0445,0.001,0.0005,0.6685995561126005,0.026060521142067878,0.020124298694836406
14,0.2855,0.17,0.0,0.0,2.7680007014566033,0.0455385508049737,0.037045428372928534
15,0.077,0.7645,0.0005,0.0015,1.3983113778996237,0.06276375828676492,0.1758481943054897
16,0.0315,0.017,0.0,0.0,1.0489066382373113,0.013579123786748989,0.011840536085711555
17,0.3225,0.239,0.0185,0.0135,0.3077436539084044,0.17078735227010317,0.13273776388112368
18,0.0105,0.009,0.0,0.0,1.8102324452117258,0.010738109919483225,0.010598805218635493
19,0.0685,0.0445,0.001,0.0,0.586500525417611,0.025497472605301566,0.016908523600422304
20,0.2855,0.1325,0.0,0.0,0.9298335066412748,0.06170706877762801,0.039318148346856215
21,0.009,0.0045,0.0,0.0,1.903768750893091,0.010455418803127616,0.010249612249997616
22,0.014,0.008,0.0,0.0,1.5805922965073487,0.01093606777623038,0.010727934727124437
23,0.009,0.004,0.0,0.0,1.9886950402620975,0.010425870013278927,0.010183386216790772
24,0.0275,0.015,0.0,0.0,0.7888585906933463,0.012978299313782953,0.011833576236924624
25,0.3345,0.2665,0.058,0.0375,0.2961798674609978,0.3116683394795478,0.23423417155499715
26,0.3045,0.273,0.1455,0.1305,0.38734904931344466,0.7776335424601628,0.6949986730653102
27,0.015,0.007,0.0,0.0,1.3911997306017758,0.011296470913037869,0.010613337944729847
28,0.0075,0.0055,0.0,0.0,1.7658343084492145,0.010610015386805104,0.01047071068595737
29,0.079,0.067,0.0015,0.001,0.5930837315641966,0.032377084352109856,0.029369325490161018
30,0.0355,0.011,0.0,0.0,0.8823197550634088,0.012999520218001043,0.01147697899570186
31,0.044,0.014,0.0,0.0,0.875288671867718,0.014338319460132073,0.012316465077417068
32,0.095,0.037,0.0,0.0,1.2335649802291344,0.021741580115698794,0.01662782031993408
33,0.0335,0.0155,0.0,0.0,1.0522948669735517,0.013659483220467623,0.012286916287568379
34,0.082,0.007,0.0,0.0,2.1106106029343823,0.0169804309115254,0.011428608246514111
35,0.1935,0.0915,0.0,0.0,0.9246856210846768,0.03819466252945828,0.02745228882346919
36,0.007,0.004,0.0,0.0,1.6975591664692509,0.010584272492541137,0.010279161039846305
37,0.467,0.0465,0.014,0.0005,1.0276747947591773,0.16963704082050732,0.04293196044733314
38,0.018,0.01,0.0,0.0,1.475644154583327,0.011587010725776324,0.011139272014309014
39,0.1505,0.129,0.0295,0.025,0.6326339981588854,0.16938346679487407,0.14942330243310015
40,0.017,0.004,0.0,0.0,1.467491247492497,0.011230796517981869,0.010473757424806694
41,0.379,0.1535,0.0,0.0,0.9858164642483982,0.06576312510182569,0.03923911628762772
42,0.0295,0.016,0.0,0.0,0.750002549591381,0.013853674095492078,0.012063892717156393
43,0.2605,0.2105,0.011,0.0075,0.40471647467214095,0.11465710213942235,0.09974416033009656
44,0.6125,0.071,0.0215,0.0005,0.6323519210349856,0.2530200772030144,0.06656089944784063
45,0.038,0.016,0.0,0.0,1.697936465179113,0.013861550867458265,0.012109414718846188
46,0.4435,0.3865,0.1705,0.14,0.11386851565948922,0.8630284882892053,0.697265744527827
47,0.0205,0.0065,0.0,0.0,1.1566157852730825,0.011361386151358467,0.010624272293824037
48,0.1615,0.133,0.002,0.001,0.5570378910185996,0.05679493903179658,0.047884059662275984
49,0.118,0.037,0.0,0.0,1.4378670124244899,0.022031556366799133,0.015097554852909593
50,0.052,0.0315,0.0,0.0,1.0607442953158062,0.0210293481026551,0.01751299890027795
51,0.087,0.068,0.001,0.0,0.5867486077376407,0.031177454902135533,0.024259867579690553
52,0.0355,0.0215,0.0,0.0,0.6618638238341426,0.01450975206360439,0.012637230860603343
53,0.303,0.1875,0.0165,0.0085,0.7860111904820124,0.13897346223455334,0.09494788299262674
54,0.2385,0.0205,0.0,0.0,2.27116591531158,0.03229181464891093,0.015038574599472818
55,0.077,0.0265,0.0,0.0,1.4857814133002722,0.016795778412786122,0.013464331269198927
56,0.07,0.0175,0.0,0.0,2.2318819833729684,0.015291015957827487,0.012328511503675161
57,0.0365,0.032,0.0,0.0,0.6794254526041166,0.014991721439463349,0.014310843968891677
58,0.0245,0.006,0.0,0.0,2.350272796437133,0.011204255553120476,0.010425870013278927
59,0.0175,0.01,0.0,0.0,1.421953548702233,0.011594690817436635,0.011542355095174815
60,0.022,0.014,0.0,0.0,1.1733673241635343,0.013203727207894936,0.012144858995042147
61,0.2815,0.095,0.0,0.0,1.122684401267432,0.03659223307042192,0.02243807693001404
62,0.06,0.032,0.0005,0.0,1.6251226891669124,0.0171891901516021,0.014351693703908463
63,0.0085,0.0055,0.0,0.0,1.457383784770211,0.010771020181118683,0.010370854148241692
64,0.1375,0.0535,0.0,0.0,0.9684455989468873,0.02828391419953556,0.018716114659048613
65,0.3815,0.2375,0.0055,0.007,0.6769730094776812,0.11888865246381865,0.08823647808503664
66,0.4505,0.4195,0.2625,0.241,0.05006655834514036,1.422074729378479,1.2111712783182889
67,0.0275,0.015,0.0,0.0005,1.1540278852367751,0.013756140706765702,0.01301227066295394
68,0.1145,0.2715,0.002,0.005,0.8476933774444682,0.06437045705210813,0.10796022004404908
69,0.3075,0.2705,0.1535,0.1345,0.38446612137908437,0.840864309967719,0.662983737264248
70,0.0565,0.0275,0.0,0.0,1.4207840306303976,0.016344644554872986,0.013667781939724141
71,0.453,0.3515,0.116,0.07,0.1604789881102458,0.5609429754573346,0.38698112013455105
72,0.1925,0.1345,0.042,0.024,1.0141794215185231,0.2122202606423481,0.16837948847612247
73,0.104,0.05,0.0,0.0,2.363991248275437,0.01819054863620685,0.014448760267383875
74,0.016,0.004,0.0,0.0,1.5121242740147167,0.011297191155911247,0.010620229493025915
75,0.344,0.257,0.093,0.0715,0.2817937208567471,0.5178829711126989,0.3572163891292044
76,0.013,0.0095,0.0,0.0,1.8248243230264258,0.011140921329685827,0.010580466596956415
77,0.067,0.0515,0.009,0.0035,0.9606745803542835,0.06314067441090274,0.045702829501464905
78,0.007,0.0025,0.0,0.0,1.698338084475939,0.01037798260175116,0.010194596384960383
79,0.0205,0.007,0.0,0.0,1.3593442275401808,0.011505048385941767,0.010808693486425639
80,0.0275,0.0115,0.0,0.0,1.9703736580510685,0.011836898794849365,0.010830354666029456
81,0.0375,0.025,0.0005,0.0,0.7565522744129278,0.015903440499924856,0.014131448544562412
82,0.131,0.0965,0.0025,0.001,0.5281279784573977,0.04639869098593938,0.03456824946114555
83,0.137,0.1045,0.0025,0.0,0.5528532907004526,0.04636544380378383,0.03349964864649682
84,0.032,0.014,0.0,0.0,1.2058734665144495,0.013446824032903579,0.01192938997384218
85,0.099,0.034,0.0,0.0,1.0790334891413567,0.02191062156647564,0.015746821722540882
86,0.0095,0.001,0.0,0.0,1.712205175109375,0.010569256428786804,0.010132452066413684
87,0.291,0.12,0.0005,0.0,1.016555422164607,0.043127764112628794,0.028315899901059382
88,0.0345,0.0185,0.0,0.0,1.036365507286167,0.015081737156898584,0.01323748740326428
89,0.3065,0.096,0.0,0.0,0.9902358675388059,0.03963145886189828,0.023108224872327346
90,0.006,0.005,0.0,0.0,1.799677097045232,0.010477839139466837,0.010411337287184573
91,0.01,0.0045,0.0,0.0,1.685879050274606,0.011430779813412928,0.010448290349618148
92,0.0085,0.003,0.0,0.0,1.722411539367988,0.010521644836334458,0.010231273628318539
93,0.051,0.0195,0.0,0.0,1.0953887504619977,0.014693384933096507,0.01247855256226571
94,0.1125,0.299,0.0025,0.012,0.643238783680919,0.08009694487531621,0.14777872883735743
