Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.0875,0.125,0.093,0.117,1.002276103164548,1.0094639129007121,1.0419985300990269
2,0.3335,0.1145,0.0,0.0,1.0540769037329525,0.06326041646057318,0.04446959199301037
3,0.688,0.017,0.0625,0.0015,0.8132472192352417,0.6236884286580913,0.26018241370856054
4,0.275,0.177,0.003,0.002,1.7202108854937768,0.5255271596295682,0.49730895325465296
5,0.105,0.147,0.429,0.458,0.8584122988182291,1.5255118887207253,1.5730341677286312
6,0.644,0.0065,0.5695,0.1435,0.9950769061125646,1.6923220554381266,0.9596947449880029
7,0.1645,0.193,0.0,0.0005,0.7914653817966578,0.03276588528033384,0.03707546523307049
8,0.0065,0.574,0.1775,0.5015,1.0691558523638294,1.0200262831692757,1.543229527220943
9,0.23,0.259,0.0005,0.0015,0.6241492916272048,0.054603712440383374,0.06119668692324822
10,0.1185,0.2385,0.0115,0.02,1.3283789727575885,0.6208618873899934,0.6653715713995587
11,0.157,0.124,0.0165,0.0115,1.094535414053541,0.7009632234789467,0.686577925122233
12,0.2615,0.031,0.2075,0.11,1.027734990189249,1.162763652293127,0.9986276068412914
13,0.29,0.0965,0.0,0.0,0.985565931419468,0.28848210981616207,0.24790883624505547
14,0.066,0.39,0.1295,0.2865,0.7325541961904647,0.8524125534964238,1.1328226258782776
15,0.278,0.196,0.042,0.034,0.705392914270187,0.5350043291503044,0.500219736781331
16,0.146,0.177,0.0,0.0,1.1118068441377762,0.3028475946227056,0.30833110364733285
17,0.216,0.2585,0.0,0.0,1.1151219969878625,0.1595275510516911,0.16294133672004082
18,0.325,0.105,0.0,0.0,1.0307539814153015,0.06216899715630239,0.04238197207321798
19,0.1165,0.1685,0.0125,0.0045,1.0121416301694905,0.5071707766508217,0.518201128104882
20,0.24,0.2995,0.0,0.0,0.9236082092766421,0.1393679463192184,0.14643231052902203
21,0.1015,0.2875,0.0255,0.0525,0.8287275796137182,0.5104603755923064,0.5960077317233866
22,0.085,0.3725,0.0,0.0005,1.0148263534074597,0.04020819826703403,0.06609850104631396
