Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.1335,0.7625,0.454,0.939,2.9254236008054426,2.5515488878939796,6.2976847986583016
2,0.4325,0.3715,0.4785,0.4225,0.6934694326619322,2.5696976345994047,2.256327345376609
3,0.6555,0.237,0.4305,0.1205,5.382657538528276,2.4197660501436227,0.6090390571234745
4,0.488,0.262,0.3265,0.153,3.0959895891115545,1.7945728503454141,0.763298905515978
5,0.518,0.2455,0.3295,0.1505,3.1263352228738777,1.8614057067354375,0.777784120827475
6,0.226,0.5395,0.5505,0.776,1.344554321658704,2.855503457761842,4.2566830260054545
7,0.46,0.347,0.4545,0.354,0.8662561255155133,2.50369192502638,1.8924009097817729
8,0.6335,0.207,0.339,0.02,7.9183354803626536,1.9823161006682837,0.2254452124072854
9,0.4755,0.3435,0.451,0.3475,0.8701564342269059,2.4706684375147128,1.770839741047014
10,0.465,0.3375,0.439,0.344,0.8879875562198724,2.441284214623453,1.7996383135481848
11,0.4465,0.357,0.424,0.3535,0.8206261397982255,2.34368439835087,1.7985971121203905
12,0.463,0.349,0.437,0.357,0.9047853673116132,2.431002142886102,1.899980757002795
13,0.4715,0.338,0.4525,0.3625,0.859421252858532,2.48353071462056,1.906979471358635
14,0.4465,0.3545,0.46,0.397,0.8075828808057972,2.509096426308359,2.156447155161959
15,0.462,0.354,0.4595,0.378,0.831501414327287,2.4419336395734446,1.9003774025929268
16,0.4555,0.342,0.447,0.375,0.8315460577700083,2.4986124977853765,1.9222335390250287
17,0.1455,0.6985,0.478,0.867,2.19386398479576,2.4815581645456497,5.396513866351549
18,0.4725,0.352,0.458,0.3545,0.8216017530972152,2.4943641334474953,1.879301616728143
19,0.466,0.3605,0.446,0.356,0.9168090409123147,2.467427789149592,1.8512205235930652
20,0.469,0.344,0.4315,0.3475,0.94436060145241,2.4626248143633425,1.8068618363336588
21,0.465,0.332,0.4475,0.352,0.853344029607586,2.489027539457793,1.7737233929336689
22,0.4795,0.326,0.42,0.3275,1.050436173972591,2.368143976637887,1.6297251001782325
23,0.4995,0.258,0.3445,0.1535,3.5512825505567074,1.8726774192136764,0.750653006460718
24,0.505,0.2585,0.326,0.1675,3.054156905713522,1.8519654765963538,0.8119404145588636
25,0.4705,0.345,0.447,0.367,0.8343361643511262,2.473620285865098,1.9768529669932768
26,0.478,0.3295,0.4515,0.3545,0.854378473013804,2.584547598217277,1.8710234163193573
27,0.479,0.3395,0.4485,0.348,0.8656059566529164,2.4086294320659603,1.8319394284049015
28,0.462,0.3645,0.459,0.378,0.8247157145209133,2.56001488621726,1.9464589462484665
29,0.4805,0.346,0.447,0.3535,0.8801809925773811,2.502487017473918,1.8462815469048222
30,0.4565,0.348,0.4525,0.355,0.9645313252599574,2.4332945044518937,1.9084232315266612
31,0.4655,0.3165,0.352,0.2235,2.8235280445814457,1.9250015081205674,1.1193856291384094
32,0.549,0.26,0.3365,0.0935,5.995245386852592,2.016406344234227,0.47850426683616626
33,0.518,0.275,0.5355,0.352,2.0360897851744144,2.7722775776296826,1.6371703012813925
34,0.25,0.575,0.4835,0.717,2.589093225951713,2.6780633969797787,4.089498940912971
35,0.5075,0.2345,0.3315,0.15,3.1601301173318848,1.850519177358652,0.7529473979610991
36,0.4845,0.33,0.465,0.369,0.8880337080568746,2.5659166644442823,1.886688458273685
37,0.476,0.3325,0.445,0.37,0.9011073940351557,2.467436626148759,1.885318089300028
