accession_id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
OP014916	BA.5.5	20220702	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP019191	BE.1.1	20220706	USA		Homo sapiens	2697049		Omicron
OP019218	BA.5.2.1	20220708	USA		Homo sapiens	2697049		Omicron
OP019211	BA.4.1.1	20220706	USA		Homo sapiens	2697049		Omicron
OP019215	BA.2.12.1	20220708	USA		Homo sapiens	2697049		Omicron
OP019208	BA.2.12.1	20220705	USA		Homo sapiens	2697049		Omicron
OP019235	BA.4.2	20220707	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019223	BA.5.2	20220707	USA		Homo sapiens	2697049		Omicron
OP019240	BF.31	20220707	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019226	BA.2.12.1	20220706	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019222	BA.5.5	20220706	USA		Homo sapiens	2697049		Omicron
OP019219	BA.5.5	20220706	USA		Homo sapiens	2697049		Omicron
OP019209	BA.2.12.1	20220706	USA		Homo sapiens	2697049		Omicron
OP019239	BF.4	20220707	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019233	BA.4.1	20220707	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019227	BA.2.12.1	20220706	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019249	BA.5.1.1	20220708	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019228	BA.2.12.1	20220706	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019395	BA.5.2.1	20220629	USA		Homo sapiens	2697049		Omicron
OP019256	BA.2.12.1	20220708	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019246	BA.5.5	20220708	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019248	BA.4	20220708	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019231	BA.2.76	20220707	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP019392	BA.5.6	20220630	USA		Homo sapiens	2697049		Omicron
OP014642	BA.4.6	20220630	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014658	BA.2.12.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014624	BA.5.2.9	20220630	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014636	BA.5.5	20220630	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP019243	BF.4	20220707	USA	PA Department of Health Bureau of Laboratories Submission Group	Homo sapiens	2697049		Omicron
OP014653	BA.2.12.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014649	BA.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014634	BA.5.5	20220630	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
