Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.019,0.9345,0.008,0.186,0.6960000583251978,0.12012498895486791,0.8508244376494724
2,0.0355,0.2725,0.0,0.0,1.4074426893602352,0.020292040759103618,0.045057011965716445
3,0.723,0.0705,0.0395,0.004,2.136175231820982,0.5228552640248434,0.2727446928958994
4,0.698,0.085,0.0245,0.001,1.6885843404139738,0.47603741514279185,0.24944742649641652
5,0.0495,0.0675,0.0,0.0,1.610775384922469,0.014688336543116402,0.015298482931827522
6,0.23,0.3575,0.0,0.0,1.0244207434008656,0.044685808097626505,0.04914326866517316
7,0.127,0.1295,0.006,0.0055,0.6177896382466593,0.06326376294728521,0.06459808721717185
8,0.089,0.072,0.0035,0.0,0.6974975087985857,0.03618542331519191,0.022737480138171853
9,0.144,0.609,0.0,0.0,2.3125782036088296,0.09095861608090706,0.16007058971912866
10,0.045,0.0525,0.001,0.001,1.1077193972152863,0.02670676272554881,0.020818043631020102
11,0.059,0.892,0.081,0.591,0.11915126028970073,0.4287667589204533,2.315140461209297
12,0.0075,0.014,0.0,0.0,1.7838568315332477,0.01049182022741035,0.010848417468633114
13,0.0875,0.108,0.002,0.0,0.6241342885033565,0.03135917012699213,0.029666859411623114
14,0.061,0.7615,0.0,0.0,3.2833651874697676,0.05108186221319571,0.12734327965501838
15,0.895,0.023,0.01,0.0005,1.146526317183334,0.3009928649856918,0.056054680575498825
16,0.021,0.029,0.0,0.0,1.2532046378966593,0.012211046114386968,0.013164812934513824
17,0.308,0.2875,0.015,0.0105,0.3012605621262993,0.1537060358300776,0.1258032819216866
18,0.0175,0.023,0.0,0.0,1.768579437697556,0.011520784692569482,0.011976794047709967
19,0.0885,0.092,0.0,0.0,0.5841750668270889,0.0232611457425884,0.02187745381386016
20,0.147,0.211,0.0005,0.0,1.0784678728675445,0.03840582194482274,0.040196619397385086
21,0.011,0.019,0.0,0.0,1.8842839164570286,0.010800530057105347,0.011200932995195733
22,0.013,0.015,0.0,0.0,1.6836075067284768,0.01092917622793431,0.011224112488270358
23,0.01,0.0145,0.0,0.0,1.7534694583128378,0.010679563977936691,0.01085554592214258
24,0.042,0.0425,0.0,0.0,0.7143328567860697,0.01449961171733217,0.01426393618195831
25,0.3035,0.31,0.0495,0.0545,0.2853053864052813,0.2783694745494796,0.295293757656688
26,0.299,0.2825,0.149,0.1435,0.44107881228051055,0.7537740417758231,0.7665256900319821
27,0.018,0.02,0.0,0.0,1.4228588753491658,0.011655437712510826,0.011532270679814514
28,0.0175,0.0225,0.0,0.0,1.898716278908391,0.011499845066884536,0.011370062304967577
29,0.158,0.1675,0.0055,0.0045,0.588155599024543,0.06721292736647141,0.06762426838032111
30,0.035,0.049,0.0,0.0,0.754097152285671,0.013731701116095944,0.014869185178105274
31,0.0315,0.033,0.0,0.0,1.0082574906685189,0.014076068200029181,0.013383611423759753
32,0.0565,0.091,0.001,0.0005,1.2406134181151964,0.02166216590701986,0.022775630141096175
33,0.0385,0.0665,0.0,0.0,1.193816027486842,0.017611210920266948,0.02019376850409909
34,0.028,0.0465,0.0,0.0,2.0913302974182755,0.01190236567132081,0.012792093736123071
35,0.205,0.255,0.0015,0.0,0.9333109747516031,0.051250510073844,0.04850161766198445
36,0.009,0.0145,0.0,0.0,1.6542251265757058,0.010558322079692614,0.010800805876180769
37,0.097,0.5,0.001,0.011,0.8303951945213129,0.0686497779349778,0.16672558347797098
38,0.015,0.1075,0.0,0.0,1.5228110547044253,0.014311823593486078,0.024184758954951608
39,0.11,0.113,0.017,0.0155,0.8418172023135873,0.092643255880479,0.1040724637060284
40,0.0105,0.018,0.0,0.0,1.5214777315046455,0.010943640653537803,0.011537179851700925
41,0.236,0.3755,0.0005,0.0,1.0625110299817937,0.053347927819709665,0.05688885469198679
42,0.0325,0.038,0.0,0.0,0.8027531345869571,0.013307272899609266,0.013972787489111588
43,0.3315,0.3255,0.0455,0.034,0.3234799327955839,0.2632148111554026,0.23970515605029152
44,0.123,0.6355,0.004,0.016,0.6463032916080589,0.10448763602291138,0.2577094140063749
45,0.028,0.412,0.0,0.0,1.6326361283380877,0.02435869292350942,0.0687654714118187
46,0.43,0.4,0.168,0.136,0.11015447378414497,0.8406874745351297,0.7135470234215268
47,0.01,0.022,0.0,0.0,1.3606977392089488,0.011010142505820069,0.011665550203454465
48,0.2125,0.227,0.003,0.004,0.49419267194786853,0.07823185975374486,0.08222747057301467
49,0.153,0.257,0.0,0.0,1.3382104730373865,0.032314567106714744,0.03375850803961833
50,0.0775,0.366,0.0045,0.0205,0.7774429128095475,0.07834665759349618,0.17644217811340482
51,0.1215,0.4635,0.003,0.0095,0.45544218143618215,0.08268743834376655,0.17309431966451233
52,0.0415,0.047,0.0,0.0,0.6848068871181877,0.014957607736912529,0.01531028903083096
53,0.046,0.804,0.024,0.1815,0.7950424422806762,0.17025848261368515,0.8813953798171532
54,0.0275,0.677,0.0,0.0,2.4984599588126883,0.022854177845544648,0.08551826606975794
55,0.021,0.1675,0.0,0.0,1.5545038035183159,0.01509247707630065,0.027537950563849074
56,0.061,0.0975,0.0,0.0,2.0771236566023505,0.015910055545965456,0.017248880831845514
57,0.0565,0.0615,0.0,0.0,0.6962152434618571,0.017992096245123605,0.018167476718401174
58,0.018,0.04,0.0,0.0,2.0934915363394833,0.011182318554441233,0.012248028563449384
59,0.02,0.0225,0.0,0.0,1.4252103447997118,0.011984198320294853,0.013042292970892159
60,0.0365,0.046,0.0,0.0,1.0552135695725229,0.01565441026348844,0.016294739781231006
61,0.211,0.3365,0.0,0.0,1.1873826870969433,0.039064148593407844,0.04361073944872825
62,0.025,0.663,0.0005,0.0115,1.603256072440472,0.038138293465052715,0.17514673438080033
63,0.012,0.0175,0.0,0.0,1.4108467111877212,0.011000581653027272,0.011261065550703936
64,0.0895,0.11,0.0,0.0,0.9583614666351864,0.02356618780400163,0.025707607279278205
65,0.019,0.942,0.009,0.2225,0.5241722022148395,0.13606268212253228,0.9713379667466562
66,0.4225,0.414,0.2505,0.2315,0.10023574580073923,1.2273823154418888,1.2755399496441817
67,0.026,0.0235,0.0,0.0,1.4180764549971374,0.013389274153305847,0.012419010558770377
68,0.4105,0.0805,0.01,0.0005,0.8175227277506437,0.1627128857130977,0.054426809349531396
69,0.292,0.3145,0.1505,0.1515,0.42160047488520475,0.8287069423212605,0.8279025922157948
