Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.3925,0.491,0.259,0.283,0.811863254270646,1.4388892709476895,1.5161157644430834
2,0.592,0.317,0.405,0.203,0.2125934684550251,2.3458132018293876,1.0732835540142462
3,0.491,0.405,0.362,0.238,1.036522924316221,2.071697702673746,1.2539076407625975
4,0.6795,0.227,0.732,0.472,0.9867932675073939,5.135350314368496,2.099218530224573
5,0.115,0.803,0.206,0.633,0.7857429853864207,1.131506390355048,3.228072649022975
6,0.461,0.457,0.3745,0.3675,2.1171885184718655,2.2143685584674904,2.167859956014591
7,0.362,0.5475,0.404,0.5055,4.636191128230749,2.3796320941966904,3.0194870631692234
8,0.3305,0.537,0.168,0.1545,1.2988331969887894,0.8637522856313821,0.7869064787736246
9,0.247,0.6535,0.307,0.556,0.33406125222601074,1.6224794477204707,2.896525662159786
10,0.2125,0.683,0.2505,0.4815,0.7690253297683267,1.2977367964503352,2.213935133730366
11,0.4675,0.39,0.1375,0.0195,1.512498106972579,0.7694303217171914,0.26864898635651074
12,0.611,0.283,0.311,0.132,0.5048494543936962,1.776996775946163,0.681225642317253
13,0.846,0.1165,0.5805,0.1085,1.959615664698067,3.5440047204190757,0.6438694939129106
14,0.494,0.3805,0.2,0.0325,0.8773175449132407,1.0010025411540213,0.350888417915247
15,0.58,0.327,0.3905,0.2105,0.10715964225167537,2.2023550438965933,1.1162325164091595
16,0.3285,0.5785,0.353,0.491,0.14349932326906373,1.9825407008140497,2.5558013181195554
17,0.3315,0.5125,0.0945,0.012,1.6043325339241545,0.50641882922775,0.3375577613703869
18,0.2385,0.665,0.258,0.4605,0.5109108082059665,1.317906354547146,2.0035740444869745
19,0.3,0.6065,0.251,0.3415,0.4823274156261242,1.3290081269011214,1.4813801862551774
20,0.4525,0.4625,0.386,0.3395,0.4314368333233559,2.1426843183844198,1.8000999618607136
21,0.223,0.6905,0.3825,0.733,0.37314982431907034,2.1904990735013117,3.969671893175053
22,0.343,0.561,0.3505,0.3705,1.3721492488539875,1.9792751391220653,1.6504046501244483
23,0.442,0.4795,0.3825,0.2655,2.8752474291643835,2.3004513659683696,1.2965226339610871
24,0.6155,0.28,0.3285,0.0005,4.030062429485903,1.9068023583530511,0.20138652618736808
25,0.362,0.5435,0.3805,0.4085,1.8798779573321915,2.1182229060414537,1.641677398699283
26,0.3995,0.5075,0.383,0.3885,2.613413936508219,2.2649652495895767,1.7856421319833435
27,0.052,0.8935,0.3055,0.9755,0.5538010008278196,1.5997112867557848,7.19731669492278
28,0.1245,0.803,0.221,0.657,1.4689343025347243,1.0706103534507987,2.8450249587369965
29,0.1745,0.717,0.249,0.5765,0.8148194640397927,1.3590309221025976,3.0355718886430636
30,0.2235,0.701,0.3825,0.7605,1.3031473371912061,2.235027175316973,4.351246563111241
31,0.381,0.535,0.3835,0.4595,2.976011874449505,2.2115102471222925,2.7417190264400113
32,0.457,0.45,0.393,0.3895,2.2090753285035056,2.315744410767069,2.1757466794419624
33,0.47,0.4395,0.387,0.353,2.228118470460464,2.2587739399865248,2.0361756464213805
34,0.455,0.451,0.3825,0.3795,2.176044447346427,2.268140248823686,2.2768189748246552
35,0.4555,0.454,0.3775,0.3955,2.202752446270336,2.1816416018266493,2.20746767521586
36,0.224,0.6855,0.3135,0.609,0.3627680001532065,1.729656202418489,3.1432368863296047
37,0.215,0.6845,0.1325,0.1955,2.2849600143456876,0.7458125931156551,0.9863027734867588
38,0.2295,0.6565,0.2235,0.44,1.1773068584161952,1.204383460650666,2.375577814971571
39,0.384,0.517,0.359,0.3945,0.21939754464693578,1.93985592145073,2.041329011903152
40,0.5045,0.3305,0.058,0.0,4.173833178777214,0.3695166187374523,0.11647437560158351
41,0.4465,0.469,0.3815,0.3845,2.1424789110633515,2.1755297124633506,2.266510397142015
42,0.231,0.6805,0.273,0.5225,0.5287987603988121,1.4716356463096243,1.986097168811669
43,0.9565,0.0265,0.715,0.018,0.69446636593876,4.330881640909358,0.1667206862579583
44,0.169,0.7465,0.2805,0.6505,0.591967983615101,1.4680195299663712,3.452073378026892
45,0.2435,0.6545,0.1795,0.206,1.162912589307068,0.9232239480957969,0.9397248627612618
46,0.4555,0.4625,0.382,0.3895,2.19286785895561,2.2246469861696325,2.288823612987307
47,0.622,0.2735,0.315,0.1305,0.4919796426768472,1.7142117956032257,0.6980000988732304
48,0.582,0.247,0.116,0.003,4.079505890707814,0.6540372315946447,0.114184282558322
49,0.491,0.401,0.2435,0.077,0.6156941959629693,1.2130581746267657,0.49281933020452506
50,0.689,0.1595,0.1575,0.0025,1.6396407996875841,0.8054928276148405,0.0947046957679035
51,0.487,0.324,0.0595,0.0015,4.4159057917316495,0.4070145579143596,0.1260453480800566
52,0.707,0.1555,0.1485,0.0045,1.4970951835910935,0.76620858199435,0.08969510043818281
53,0.702,0.123,0.09,0.0,1.779519713087752,0.5034997117659933,0.04770117787532119
54,0.3285,0.557,0.394,0.5465,0.594857797676226,2.08306725757659,2.300017702267822
55,0.5705,0.3445,0.356,0.1975,0.12400384164106563,1.9365138650273725,1.0426715692985982
56,0.29,0.5895,0.264,0.354,1.1890643836836186,1.270108821546971,1.4484135752615126
57,0.2215,0.651,0.0465,0.024,1.6917577278885112,0.3197469554155199,0.3937335760359283
58,0.0975,0.8095,0.07,0.2585,1.5374858502990725,0.43717398599098306,1.0762922754467743
59,0.8215,0.101,0.3805,0.0025,6.606815001323934,1.9539137080497182,0.21298908133679248
60,0.5945,0.317,0.6395,0.5005,0.7847428043839293,4.082580158395267,1.9731540535214351
61,0.269,0.649,0.404,0.638,3.9512018649708667,2.3063548570275776,3.9231566679467655
62,0.473,0.4475,0.399,0.374,2.2174205776397007,2.369027551597009,2.1397706662236624
63,0.1,0.8205,0.2275,0.725,0.4520475415462739,1.1101288272075205,4.011726073630051
64,0.606,0.248,0.124,0.016,1.1228987349929949,0.7033481585506258,0.1692934485314819
65,0.1695,0.7135,0.065,0.116,2.643323400764525,0.397848732099012,0.689535748313502
66,0.671,0.221,0.275,0.02,3.11314466380947,1.4651017647719202,0.2636639760066526
