Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.337,0.4045,0.124,0.16,0.736414092135691,0.7023868322273493,0.8075644125530883
2,0.834,0.0405,0.0005,0.0,1.1911279026323733,0.23328620003549075,0.06609150281799071
3,0.1055,0.6725,0.0,0.002,2.0864882899296204,0.13574710440492826,0.2604210360346066
4,0.573,0.14,0.005,0.001,1.668802637651866,0.3764351594614158,0.25177829514939576
5,0.934,0.0015,0.0035,0.0,1.496035846016118,0.23474833160498387,0.020705062932044094
6,0.9885,0.0015,0.03,0.0,1.0893439187206442,0.46533168280558573,0.04427814673548996
7,0.2735,0.0995,0.011,0.0055,0.5886599000709761,0.08462649526036413,0.05273266820671241
8,0.216,0.0645,0.001,0.0005,0.6633816401201842,0.037329044984772415,0.0241402654563259
9,0.4435,0.2465,0.0005,0.0,2.28343891487345,0.2144583254226698,0.1682105251522565
10,0.2335,0.046,0.002,0.0025,1.0434406655218644,0.0427063269987725,0.027110997464348547
11,0.1125,0.811,0.1475,0.609,0.11517903717737871,0.6941779251205037,2.452051630734199
12,0.102,0.003,0.0,0.0,1.79933569938828,0.015516306524586774,0.010437080181448536
13,0.225,0.0815,0.0015,0.0,0.6012678788605409,0.04975643553728556,0.031935733391865784
14,0.037,0.829,0.0,0.0,3.3763370588918478,0.03776701118972762,0.12834307676238124
15,0.7935,0.076,0.0045,0.0,1.137475055335269,0.2297963120925038,0.05884180811669897
16,0.262,0.031,0.0,0.0,1.2411835157069657,0.03551273980809513,0.014852488380510974
17,0.353,0.279,0.0135,0.012,0.3003255711387343,0.15833000329819585,0.12457677714795282
18,0.1555,0.0145,0.0,0.0,1.788028378170146,0.021391921852238004,0.01171288597683139
19,0.1885,0.0575,0.0,0.0005,0.5801853461116361,0.029960932930597203,0.02356009278676813
20,0.989,0.0025,0.0875,0.0005,0.9300940345844326,0.5917660113055873,0.046240562549085484
21,0.1165,0.009,0.0,0.0,1.9057573717358574,0.016414198018709324,0.010719287960144168
22,0.1295,0.0095,0.0,0.0,1.696231270184379,0.020091048452449318,0.011337190957194146
23,0.1125,0.0085,0.0,0.0,1.758357136211027,0.017750204449836483,0.010789595708011157
24,0.211,0.0335,0.0,0.0,0.6717358244610484,0.025571829815494607,0.015296815068100551
25,0.3885,0.2905,0.0545,0.04,0.2886362443384581,0.3249740554886915,0.25644363607680626
26,0.4015,0.2785,0.172,0.151,0.3840521842512973,0.9213370376021077,0.7732284583184056
27,0.1475,0.0185,0.0,0.0,1.413934755007864,0.022594595450904288,0.012300273508712718
28,0.1425,0.014,0.0,0.0,1.9186520058165817,0.019376900243958266,0.011333385061609424
29,0.2715,0.1185,0.007,0.004,0.5872863357280048,0.09582297197395447,0.06433244333856465
30,0.226,0.038,0.0,0.0,0.7070895368821188,0.028186350120745374,0.015417448086236362
31,0.3185,0.038,0.0,0.0,0.9786192948375202,0.04649138483368638,0.015821960814570237
32,0.9625,0.009,0.023,0.0,1.030534533509184,0.3788890306288365,0.03662360602354163
33,0.372,0.048,0.0005,0.0,1.1805195202352001,0.06997421442314554,0.023704883908524103
34,0.493,0.0165,0.0,0.0,2.1463783179589653,0.054563536466740344,0.01446504821216243
35,0.965,0.0055,0.0245,0.0,0.9269179346705743,0.4000957295731878,0.04398343487117038
36,0.1085,0.011,0.0,0.0,1.645359935951114,0.017703627833194964,0.011065710009008146
37,0.559,0.192,0.0275,0.011,0.7806847206495307,0.30735069704347706,0.17967555244891706
38,0.1885,0.09,0.0,0.0,1.519693453580041,0.03537471360963079,0.027799761554148386
39,0.253,0.121,0.0225,0.019,0.7550079832798268,0.14455735858705507,0.12242258372449867
40,0.171,0.017,0.0,0.0,1.512778020639,0.025527585800020954,0.012612276509703618
41,0.9945,0.0,0.202,0.0,1.1287948195163575,1.0254891436397449,0.051911149461250666
42,0.218,0.04,0.0005,0.0,0.7606974424866503,0.027831103240921095,0.014836790987745284
43,0.3995,0.294,0.053,0.037,0.32489236532932125,0.31321613770329465,0.24110121708649349
44,0.5475,0.2615,0.0415,0.019,0.6453125711676995,0.3994910813370044,0.2764778618973036
45,0.183,0.291,0.0,0.0,1.603765811875484,0.05327397928657945,0.06897153604705762
46,0.4435,0.398,0.1665,0.136,0.11046296264150302,0.8534549936925444,0.748418094575917
47,0.2115,0.023,0.0,0.0,1.383209025791872,0.02895760247399071,0.012905863061291396
48,0.661,0.109,0.0425,0.009,0.4357286609653259,0.3426221313696967,0.11736125201530377
49,0.9905,0.0015,0.024,0.0,1.2490989867072628,0.4115121479170811,0.03161221735969163
50,0.2075,0.3285,0.0025,0.015,0.7295871593184732,0.08985494030598216,0.17051808277892805
51,0.1715,0.4335,0.004,0.016,0.4508604049958828,0.10029966610150962,0.1944872737169933
52,0.18,0.0355,0.0,0.0,0.6597978524324998,0.021502435978325754,0.013952761949239173
53,0.305,0.4845,0.0905,0.1645,0.7150921931148569,0.5298267634997028,0.8519760952272192
54,0.1395,0.495,0.0,0.0,2.519156824165124,0.04201790371412998,0.08331977729494962
55,0.935,0.015,0.0,0.0,1.2688840810249085,0.28334358360349476,0.051993325507958855
