Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.437,0.467,0.2485,0.2825,0.05595488681335925,1.3633427830973406,1.5723021998953355
2,0.9605,0.019,0.917,0.1605,0.1877134287825326,5.831155764383769,0.7391107745933184
3,0.364,0.4335,0.2005,0.2355,0.20670934428810364,1.0389814733236136,1.2209938950874568
4,0.366,0.4455,0.2005,0.244,0.21295606740884726,1.047459015087088,1.2423648801594567
5,0.378,0.468,0.209,0.2605,0.13086340313531375,1.109239493555917,1.4172482622752847
6,0.0665,0.134,0.0005,0.0005,1.2723678677964894,0.02690763313830692,0.033615791380245216
7,0.848,0.0705,0.5425,0.098,0.29262610921688403,2.371382985066703,0.5298959969960612
8,0.3645,0.441,0.206,0.2495,0.20965461824854564,1.0619639117508475,1.3008502289253354
9,0.3805,0.436,0.209,0.2535,0.18819908489778214,1.067287001771766,1.3630381090414347
10,0.386,0.4415,0.1095,0.164,0.2051324947229069,0.6062570168813128,0.8042261076281967
11,0.777,0.059,0.8485,0.435,1.2980072147843658,2.727382512827355,1.405266737047733
12,0.3685,0.422,0.1815,0.2275,0.19797330587134312,0.9250162697591154,1.2307334536245447
13,0.07,0.1225,0.0035,0.003,1.1644409081876932,0.037567532776687534,0.045482887138797314
14,0.389,0.428,0.19,0.231,0.19645070139225693,0.9954691314151515,1.2105601752455044
15,0.3365,0.4465,0.0975,0.161,0.25545277523345367,0.5197403099510239,0.7901981060365018
16,0.37,0.4255,0.111,0.155,0.2467373997198313,0.5866040813381382,0.782299937405374
17,0.0645,0.1355,0.0,0.001,1.3155686442043555,0.02438639201229135,0.03641230006261272
18,0.425,0.4485,0.2305,0.266,0.10501438595795656,1.2225749873847165,1.401662742197129
19,0.0865,0.1215,0.0005,0.0035,1.0265276137055521,0.036603591050281103,0.052688667178101764
20,0.6965,0.182,0.372,0.13,0.280803503487811,1.7449954740409928,0.6723272146088631
21,0.2615,0.332,0.0675,0.0815,0.5226685663727016,0.37302119049187143,0.445277376091597
22,0.806,0.054,0.869,0.403,0.8151391026343572,3.1980154542895503,1.5141890326147684
23,0.236,0.3335,0.0615,0.0915,0.5684741752414385,0.3417360510497085,0.46555899717431726
24,0.047,0.1315,0.0,0.001,1.8761258236095468,0.019753814917503693,0.02968351929665987
25,0.233,0.145,0.0,0.0005,2.6855870763587295,0.05710296365959347,0.04027951218726893
26,0.122,0.178,0.0125,0.018,0.8831577475755618,0.08642931119652156,0.12364833270014536
27,0.4035,0.4695,0.233,0.259,0.13156547790720258,1.1462953537672467,1.3870956459226853
28,0.0485,0.1195,0.0,0.0005,1.604176326508698,0.017800660137336784,0.0262354799470916
29,0.035,0.131,0.0,0.0,3.065940862824678,0.013931167759080714,0.020197918013133892
30,0.3755,0.446,0.208,0.252,0.16833062216894001,1.0962121257598902,1.305440800723736
31,0.203,0.2735,0.039,0.058,0.7340935977660947,0.21156564162415722,0.29646552967916256
32,0.0625,0.128,0.0,0.001,1.5190982248921525,0.02140026807302148,0.029403454067795952
33,0.1205,0.158,0.002,0.005,0.8525254330356409,0.050816005889029764,0.07109138222417793
34,0.248,0.309,0.0485,0.0725,0.5655575552788771,0.30424999791281104,0.38934420414617804
35,0.134,0.191,0.01,0.017,0.8733047236856637,0.07910579523562739,0.11970951303816203
36,0.4005,0.4655,0.2315,0.277,0.10997102258350959,1.165147138368792,1.4125086814586836
