sim,codon_sites
56,[307]
484,"[23, 40, 50, 84, 87, 134, 149, 170, 175, 190, 199, 201, 207, 214, 235, 268, 273, 283, 287, 289, 298, 326, 332, 353, 392, 430, 460, 497, 507, 509, 515, 518, 592, 595, 606, 611, 614, 615, 643]"
413,[198]
438,[313]
58,[54]
180,[50]
83,"[25, 37, 44, 68, 103, 124, 156, 161, 163, 236, 258, 316, 334, 444, 466, 471, 487, 494, 537, 556, 562, 619, 626, 632, 659, 671, 674, 708]"
175,"[12, 29, 121, 165, 189, 205, 208, 212, 253, 255, 292, 294, 300, 349, 386, 403, 424, 431, 435, 449, 482, 507, 530, 557, 562, 572, 579, 596, 611, 673, 694, 713, 734, 739]"
31,[202]
82,"[13, 18, 24, 30, 38, 47, 59, 63, 70, 75, 102, 122, 143, 148, 154, 162, 179, 194, 202, 229, 232, 250, 259, 301, 305, 306, 355, 370, 376, 379, 405, 406, 444, 446, 448, 455, 456, 463, 464, 467, 519, 520, 524, 526, 568, 570, 581, 596, 603, 615, 625, 645, 652, 686, 687, 688, 758, 764]"
338,[345]
178,"[2, 79, 106, 123, 149, 192, 214, 312, 435, 476, 508, 592, 642, 654]"
500,"[7, 9, 20, 26, 29, 40, 52, 58, 62, 75, 79, 91, 94, 99, 107, 114, 120, 123, 130, 140, 143, 146, 149, 156, 185, 189, 218, 221, 225, 237, 244, 250, 258, 260, 274, 306, 310, 325, 335, 336, 348, 361, 365, 367, 368, 383, 386, 394, 398, 403, 406, 419, 420, 434, 436, 437, 442, 453, 456, 464, 490, 496, 498, 509, 519, 520, 536, 537, 538, 539, 550, 552, 564, 571, 575, 582, 589, 592, 603, 619]"
409,[243]
390,[259]
339,"[18, 27, 35, 36, 51, 58, 65, 88, 92, 101, 113, 114, 128, 132, 139, 152, 163, 184, 195, 198, 200, 225, 247, 270, 272, 283, 290, 296, 311, 312, 345, 351, 359, 362, 369, 381, 388, 407, 413, 462, 464, 475, 484, 498, 501, 509, 510, 524, 544, 558, 562, 577, 580, 589, 603, 612, 613, 620, 628, 630, 636, 640, 647, 661, 665, 673, 695, 702, 706, 714, 718, 726]"
90,[119]
365,[306]
347,"[4, 537, 753]"
480,[24]
152,[218]
296,"[3, 4, 5, 6, 8, 11, 12, 45, 48, 59, 81, 98, 112, 119, 125, 162, 168, 201, 219, 248, 250, 296, 368, 388, 409, 429, 443, 476, 488, 513, 522, 524, 539, 541, 545, 553, 564, 571, 572, 620, 624, 632, 634, 639, 653]"
88,[558]
211,"[8, 10, 11, 14, 30, 33, 34, 50, 52, 59, 62, 67, 69, 74, 87, 88, 89, 96, 105, 111, 115, 117, 118, 128, 135, 138, 139, 143, 156, 160, 163, 166, 167, 169, 174, 177, 182, 189, 201, 208, 214, 218, 219, 220, 225, 235, 244, 249, 252, 254, 268, 269, 270, 278, 288, 293, 294, 297, 298, 300, 303, 307, 315, 316, 332, 344, 345, 351, 353, 355, 358, 372, 374, 377, 387, 394, 397, 403, 405, 406, 411, 428, 429, 436, 439, 441, 452, 455, 457, 460, 462, 468, 482, 503, 509, 526, 548, 549, 553, 554, 582, 583, 584, 586, 590, 592, 595, 599, 601, 602, 609, 623, 636, 645, 648, 660, 661, 664, 672, 676, 678, 681, 697, 704, 714, 717, 719, 740, 741, 752]"
358,"[2, 9, 20, 27, 30, 33, 38, 57, 58, 75, 78, 85, 88, 91, 101, 114, 116, 126, 134, 142, 143, 145, 156, 160, 165, 168, 171, 173, 174, 180, 181, 184, 190, 200, 205, 209, 214, 219, 227, 228, 229, 237, 238, 239, 250, 262, 267, 269, 273, 274, 279, 281, 282, 283, 287, 288, 298, 303, 305, 309, 310, 327, 330, 336, 343, 347, 348, 349, 352, 359, 364, 365, 368, 376, 383, 384, 385, 391, 392, 393, 394, 405, 416, 417, 418, 419, 425, 440, 446, 451, 452, 453, 472, 473, 474, 476, 480, 482, 484, 486, 487, 494, 497, 498, 501, 506, 507, 519, 521, 523, 533, 534, 536, 539, 543, 550, 551, 555, 571, 575, 581, 586, 588, 598, 599, 603, 605, 612, 618, 623, 624, 625, 628, 634, 640, 644, 647, 652, 668, 669, 682, 690, 699, 701, 709, 714, 721, 725, 734, 740, 742, 745, 752, 756, 758, 766, 767, 771, 776, 780, 783, 789, 792]"
482,[122]
42,"[1, 4, 9, 20, 27, 29, 37, 49, 65, 73, 80, 85, 87, 89, 100, 112, 117, 118, 123, 138, 142, 144, 153, 170, 180, 182, 184, 215, 219, 233, 267, 269, 270, 275, 277, 281, 282, 297, 306, 330, 336, 362, 366, 372, 377, 418, 420, 430, 432, 443, 456, 457, 473, 481, 482, 493, 495, 504, 512, 514, 533, 541, 550, 552]"
163,"[3, 5, 108, 131, 139, 183, 205, 261, 262, 267, 300, 305, 338, 362, 386, 455, 474, 480, 503, 529, 545, 553, 559]"
440,"[9, 11, 12, 16, 22, 27, 29, 37, 56, 58, 60, 75, 79, 82, 96, 98, 107, 108, 110, 111, 124, 131, 133, 134, 139, 140, 152, 154, 155, 168, 173, 188, 190, 200, 207, 211, 221, 225, 228, 234, 236, 240, 241, 242, 249, 263, 269, 275, 276, 277, 278, 279, 282, 283, 319, 326, 341, 343, 345, 355, 367, 381, 387, 408, 410, 416, 427, 433, 435, 436, 446, 449, 452, 455, 459, 474, 485, 489, 490, 495, 502, 509, 510, 523, 527, 529, 533, 539, 540, 544, 551, 557, 565, 570, 580, 583, 588, 591, 592, 593, 594, 595, 596, 609, 615, 629, 634, 636, 638, 651, 681, 686, 687, 706, 721, 732, 733, 734, 740, 756]"
158,[407]
