Codon Sites,P(ω1 > ω2),P(ω2 > ω1),P(ω1 > 1),P(ω2 > 1),mean(α),mean(ω1),mean(ω2)
1,0.0125,0.928,0.0025,0.136,0.5275748678870008,0.08936404859390175,0.6622217096797595
2,0.018,0.214,0.0,0.0,1.548625798253743,0.014480610314991892,0.02926646847530105
3,0.6215,0.079,0.007,0.0005,2.5044508957372167,0.3175154199224827,0.1904414446638939
4,0.6595,0.0775,0.0025,0.0,1.8906580352921765,0.30209403457622824,0.16755948825481504
5,0.0445,0.125,0.0,0.0,1.5056073088297166,0.013905415337583568,0.01758770120144776
6,0.135,0.3725,0.0,0.0,0.995542864252127,0.030782993100999915,0.041093441001925114
7,0.086,0.0815,0.0035,0.002,0.6664075876860321,0.044096795487190324,0.03569269512690508
8,0.0555,0.057,0.004,0.0,0.6788636201906736,0.03354341276186216,0.021461935094536744
9,0.125,0.5685,0.0,0.0,1.9213440051865052,0.057541600923641446,0.0969493921260604
10,0.0455,0.0475,0.0005,0.0,0.9728570780994207,0.02027342067903313,0.018183273696085047
11,0.099,0.8205,0.037,0.314,0.12062392750112881,0.2739938358645307,1.2423005513577883
12,0.005,0.007,0.0,0.0,2.0563745005884795,0.010290371208015917,0.01027507932518616
13,0.0555,0.056,0.0,0.0005,0.6677173030522107,0.019664691900164104,0.020692264914503596
14,0.038,0.7805,0.0,0.0,2.7823797839157995,0.04064325716067946,0.11620460205233414
15,0.8225,0.029,0.0025,0.0,1.3189099898724173,0.18153663958450317,0.04094805686447905
16,0.018,0.0265,0.0,0.0,1.0812257899697064,0.01193658672784251,0.012799507535941146
17,0.2725,0.256,0.0105,0.0065,0.3191354198373768,0.11990977716907021,0.1051385116780789
18,0.005,0.007,0.0,0.0,1.8519397889559635,0.010334176904883538,0.010525726550994603
19,0.0605,0.052,0.0,0.0,0.591003917274755,0.018831996702200343,0.01701766648290086
20,0.155,0.356,0.001,0.0005,0.9135027270799293,0.04045059215794007,0.05235051100241078
21,0.005,0.008,0.0,0.0,2.0077480698892822,0.010267950871676694,0.01040753139159985
22,0.0095,0.01,0.0,0.0,1.598048060230698,0.010546836092447581,0.010535901743353391
23,0.0025,0.0125,0.0,0.0,2.0964707338645976,0.010176257763281306,0.01056545053320208
24,0.0295,0.0175,0.0,0.0,0.7874993250512827,0.012453361306152587,0.011903439560993656
25,0.287,0.288,0.0375,0.0305,0.31134563477038796,0.2123904488904675,0.22287416021477371
26,0.29,0.2715,0.141,0.1215,0.4370837082261665,0.6981573603579303,0.6034334800716428
27,0.0085,0.014,0.0,0.0,1.4528357521828092,0.010687451588181558,0.01083416056161418
28,0.0065,0.0115,0.0,0.0,1.8452134845896881,0.010554723702692448,0.010690774146106303
29,0.086,0.083,0.0005,0.0,0.5917307476214362,0.031092846478926087,0.027622313021905685
30,0.019,0.0185,0.0,0.0,0.9044086641760776,0.011961985502540191,0.01209344150700508
31,0.0235,0.034,0.0,0.0,0.9046733863117666,0.012372602546851389,0.012993383678028153
32,0.0545,0.1565,0.0,0.0,1.2057944898367765,0.019236673016748734,0.02420727553125075
33,0.0205,0.026,0.0,0.0,1.0678347565888315,0.012844279908128725,0.013172770156295055
34,0.0085,0.0235,0.0,0.0,2.162789597895896,0.010521644836334458,0.011142111234573777
35,0.1135,0.277,0.0,0.0,0.9287630918662605,0.027180260744382193,0.034936368535837564
36,0.0035,0.007,0.0,0.0,1.7461307016169654,0.010194596384960383,0.010322966736713925
37,0.054,0.501,0.001,0.0035,1.025644334383974,0.038787875291891635,0.10554669727423566
38,0.012,0.09,0.0,0.0,1.4520989260826525,0.012716175848217421,0.02065755716434082
39,0.118,0.141,0.022,0.0215,0.6595368031088479,0.13268744480817857,0.12132444481383875
40,0.009,0.009,0.0,0.0,1.4874368587198927,0.010760530255822447,0.010896619613098325
41,0.214,0.401,0.0005,0.0,0.9763263424427018,0.05016630214847617,0.055207080464845355
42,0.0225,0.0245,0.0,0.0,0.7685676426293253,0.012200004550939891,0.012756020720423191
43,0.2235,0.228,0.0095,0.006,0.4016809855973627,0.09797573252945126,0.08834115961126549
44,0.0955,0.589,0.0,0.0055,0.6553953417074597,0.06162866341698326,0.1575846281884321
45,0.0215,0.357,0.0,0.0,1.7468804643091493,0.019621938640773547,0.05105858902429696
46,0.395,0.4135,0.1295,0.1235,0.12715282915301404,0.6890858975024622,0.6434540445423527
47,0.0105,0.017,0.0,0.0,1.182369008585995,0.010837207300463503,0.01142251476881547
